name,precision,recall,f1,support,predicted_positive_count
has_external_call,0.9872611464968153,0.9748427672955975,0.9810126582278481,159,157
has_delegatecall,0.0,0.0,0.0,8,0
has_state_read,0.949438202247191,0.9061662198391421,0.9272976680384089,373,356
has_state_write,0.9035369774919614,0.9093851132686084,0.9064516129032258,309,311
call_before_state_write,0.625,0.35714285714285715,0.45454545454545453,14,8
state_write_before_call,0.3333333333333333,0.2,0.25,25,15
call_without_return_check,0.6666666666666666,0.21052631578947367,0.32,19,6
call_with_return_check,0.9415584415584416,0.9863945578231292,0.9634551495016611,147,154
state_write_with_auth_guard,0.6544117647058824,0.717741935483871,0.6846153846153847,124,136
state_write_without_auth_guard,0.7887323943661971,0.8421052631578947,0.8145454545454546,266,284
sensitive_call_with_auth_guard,0.2912621359223301,0.6521739130434783,0.4026845637583893,46,103
sensitive_call_without_auth_guard,0.7884615384615384,0.924812030075188,0.8512110726643599,133,156
env_used_in_condition,0.5,0.75,0.6,68,102
env_used_in_arithmetic_or_hash,0.4479166666666667,0.5584415584415584,0.49710982658959546,77,96
div_before_mul,0.6818181818181818,0.41379310344827586,0.5150214592274678,145,88
has_hardcoded_address,0.7991071428571429,0.8063063063063063,0.8026905829596414,222,224
hardcoded_address_near_call,0.6756756756756757,0.8169934640522876,0.7396449704142012,153,185
value_or_gas_sensitive_call,0.8636363636363636,0.9851851851851852,0.9204152249134949,135,154
dense_storage_or_call_ops,0.5555555555555556,0.23809523809523808,0.33333333333333326,21,9
panic_selector_present,1.0,0.045454545454545456,0.08695652173913045,22,1
selfdestruct_present,0.0,0.0,0.0,5,0
create_contract_present,0.0,0.0,0.0,7,0
