epoch,train_loss,valid_loss,micro_f1,macro_f1,predicted_positive_total,Reentrancy_f1,Access Control_f1,Arithmetic_f1,Unchecked Return Values_f1,DoS_f1,Time manipulation_f1
1,0.595387891786439,0.5277026560571458,0.7511993382961124,0.7065261634387565,6754,0.7790744466800805,0.8607133558969019,0.7086766844401357,0.6967644845748683,0.5216473072861668,0.6722807017543859
2,0.49538872029100145,0.4696482519308726,0.7781597904387688,0.7431476773934073,6880,0.8012519561815337,0.8655928175336679,0.7533753375337534,0.761986301369863,0.5650485436893204,0.7116311080523056
3,0.46033102699688505,0.4492059366570579,0.7898390917258842,0.7586610549958618,6907,0.8107680126682504,0.86767537826685,0.7741935483870969,0.7828054298642534,0.6102088167053364,0.7063151440833844
4,0.42882915905543734,0.421595166126887,0.8023817742492234,0.7752018698649373,6252,0.8305220883534136,0.8732234223990903,0.7540134645261523,0.8091353996737357,0.6117179741807348,0.7725988700564972
5,0.4049633028251784,0.40742847157849205,0.8160563864534984,0.7894047269290554,6298,0.8278722521775197,0.8839506172839506,0.7759615384615384,0.8142031379025598,0.6658291457286433,0.7686116700201208
6,0.38299383095332556,0.403182715177536,0.8158006995990104,0.7876085013898587,6385,0.8377926421404682,0.8877005347593583,0.7856101118133203,0.8017817371937641,0.6290983606557378,0.7836676217765043
7,0.36661368757486346,0.38626886407534283,0.8219438444924406,0.796761977003194,6239,0.8292268479184367,0.8882091212458287,0.7872954764196343,0.8159509202453987,0.6592920353982301,0.8005974607916355
8,0.3493799437369619,0.38840694891081917,0.8216206984886006,0.7976765028171747,6375,0.8357446808510639,0.8891389983117615,0.7862772369031061,0.8082505729564554,0.6890951276102087,0.7775524002704529
9,0.3353608712553978,0.39123213291168213,0.8228542493037387,0.7956008857465453,6513,0.8427929767251938,0.8911111111111112,0.7951923076923078,0.8112206216830933,0.6600441501103753,0.7732441471571905
10,0.3204787001013756,0.3787926650709576,0.8265975820379965,0.8010012726420864,6244,0.835016835016835,0.8928170594837262,0.7970873786407767,0.8233486943164363,0.6629588431590657,0.7947788252356781
11,0.3076686471700668,0.39384561942683327,0.8305025389599019,0.805946057224971,6086,0.8327702702702702,0.8914858096828048,0.8005937654626422,0.816988416988417,0.6829865361077112,0.8108515448379804
12,0.2940694337444646,0.3914278878106011,0.8285714285714285,0.8051922500510776,6354,0.8409748038000826,0.8890784982935154,0.8036697247706422,0.8093797276853252,0.6775244299674267,0.8105263157894737
13,0.28301031621439116,0.3965843551688724,0.8282775453277545,0.8071135323389022,6136,0.8383538396266441,0.8841687907108469,0.7961165048543689,0.8178324365872405,0.696045197740113,0.8101644245142003
14,0.2682126556124006,0.3891805277930366,0.8272662384011421,0.8048758372701729,5872,0.8333333333333333,0.8854076008123006,0.7987551867219916,0.8274231678486998,0.6765039727582293,0.8078317621464829
15,0.2576847130698817,0.422019609146648,0.8309470415732275,0.8101077464305844,6258,0.8307952622673435,0.8919372900335946,0.7948600275355667,0.8267090620031797,0.7109471094710947,0.8053977272727274
16,0.24702446130769593,0.41157113015651703,0.8357760904114427,0.812488535503099,5990,0.8421913327882258,0.8918687589158345,0.8074037018509256,0.8254980079681276,0.6980891719745224,0.809880239520958
17,0.2388180415545191,0.4444366991519928,0.8159111933395004,0.8013799965257579,5474,0.8437905668541756,0.8334388853704876,0.8074656188605109,0.8050420168067226,0.7075718015665798,0.8109710896960712
18,0.2292675799557141,0.4207565701670117,0.8336409174795676,0.8103760891922235,6043,0.8446889547185782,0.8867978329056174,0.8144126357354392,0.8260869565217391,0.6704035874439462,0.8198665678280208
19,0.2182165234216622,0.45148962404992843,0.8326868829337093,0.8106183766985445,6008,0.8449514152936206,0.8861271676300578,0.8065638985579314,0.8097412480974124,0.7000000000000001,0.8163265306122449
20,0.21004083741988455,0.4471934652990765,0.8255103821322631,0.8014833121942871,6126,0.8344086021505376,0.8852173913043477,0.8136919315403423,0.799110452186805,0.6806526806526807,0.7958188153310105
21,0.20235929616859982,0.4684234344296985,0.8337758895379714,0.8119326600583877,5962,0.8383284086112284,0.881726618705036,0.8204642349597348,0.8316993464052288,0.6930946291560102,0.806282722513089
22,0.19486333919422968,0.48493479523393845,0.833469313752153,0.8123435215488439,5695,0.8391608391608392,0.8830715532286213,0.806910569105691,0.8227848101265822,0.6983311938382541,0.8238021638330757
23,0.18759581223130226,0.5009275674819946,0.833641893678921,0.8095177409271951,6007,0.8483589530535937,0.886916690523905,0.8103616813294232,0.8084415584415584,0.6940874035989718,0.8089401586157174
