threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.6438506588579795,0.9673693858845096,0.7731301736136547,0.5532168716952336,0.9196428652744976,0.6836261605318306,8196
0.1,0.6804663959124853,0.952153987167736,0.7937041564792175,0.5968435292890242,0.8972444033642846,0.7128568388905178,7633
0.15,0.7079194260485652,0.9406049495875344,0.8078406675588444,0.632186287848533,0.8795311243503194,0.7338742278767059,7248
0.2,0.7246252676659529,0.9305224564619615,0.8147672552166935,0.6525427918042785,0.867272609647286,0.7434664131087695,7005
0.25,0.7372284204345273,0.9206232813932173,0.8187820983125458,0.6648064222566963,0.857950784135006,0.7477852648472385,6812
0.3,0.7468468468468469,0.9118240146654445,0.8211308295501445,0.6766362522037086,0.8506878463527086,0.7524884993938302,6660
0.35,0.7592307692307693,0.9046746104491292,0.8255959849435383,0.6901039803414679,0.8410654290669826,0.7570362103817534,6500
0.4,0.7725979772439949,0.8962419798350137,0.8298395994228973,0.7064826541075295,0.8332433519088056,0.7634501584592064,6328
0.45,0.7830739299610895,0.8854262144821264,0.831110728727523,0.7208239735442574,0.8245809947463167,0.7681647230593123,6168
0.5,0.7906899418121364,0.8718606782768102,0.8292938099389712,0.7323790210380784,0.813278253599613,0.7695425963366143,6015
0.55,0.8,0.8571952337305224,0.8276106194690266,0.7444729512311256,0.8000019681578633,0.7701037686549673,5845
0.6,0.8074413683653676,0.8394133822181485,0.823117023188927,0.7564557621057376,0.7827868818051962,0.7680641025001964,5671
0.65,0.817932296431839,0.8194317140238313,0.8186813186813187,0.766632119280962,0.767275933336033,0.7651530579125863,5465
0.7,0.8260952019723118,0.7985334555453713,0.8120805369127517,0.7742961567558451,0.7510478627684315,0.7602005987101459,5273
0.75,0.8360983409954028,0.7668194317140238,0.7999617517689807,0.7835915523766421,0.7199830570473915,0.7474739294162549,5003
0.8,0.8469473684210527,0.7374885426214483,0.78843704066634,0.7961029515129671,0.6934061832683189,0.7383298794270465,4750
0.85,0.8593356242840778,0.6876260311640696,0.7639511201629328,0.8127062957431028,0.6555490706943808,0.7222272401692649,4365
0.9,0.875715028601144,0.6174152153987168,0.7242232018062573,0.8273049677384723,0.6015151217836003,0.6919181922575783,3846
0.95,0.8887722980062959,0.4658111824014665,0.6112581188356988,0.849533527912075,0.4826534559378698,0.607085106667296,2859
