threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.6548020482078182,0.9611365719523373,0.7789332937156439,0.5577284071251623,0.9104821927931324,0.6838555566688667,8007
0.1,0.6908896606999733,0.9481209899175069,0.7993199907271463,0.5980281851027566,0.8970990244206232,0.7119090197278957,7486
0.15,0.7127659574468085,0.9334555453712191,0.8083181204857529,0.6232091685778935,0.8816488451057235,0.7255332122709266,7144
0.2,0.7286911297312916,0.9246562786434463,0.8150601922921548,0.6408609422218344,0.8668530192877033,0.7333189506575446,6922
0.25,0.7428954024698705,0.915307057745188,0.820137976346912,0.6588985196097514,0.8594508606574955,0.7428084195128561,6721
0.3,0.7527045558433643,0.9055912007332723,0.8221001830587452,0.6701107026201647,0.848359239726074,0.7463781764433454,6563
0.35,0.762001246882793,0.8962419798350137,0.8236879791087524,0.6846831622813832,0.8402933268095846,0.7528203968561867,6416
0.4,0.7719214183037854,0.8859761686526123,0.8250256060088769,0.6948395757353487,0.8304805516628095,0.7550999010026018,6261
0.45,0.7803487045787845,0.877910174152154,0.8262594893029676,0.7060312048501165,0.8244180115232406,0.7592687088973196,6137
0.5,0.7883430474604496,0.8678276810265811,0.8261780104712042,0.7144812279367883,0.8145770456579371,0.7599934354778728,6005
0.55,0.796078431372549,0.8559120073327223,0.8249116607773852,0.7235193655185908,0.8018257895138543,0.7597081017264997,5865
0.6,0.8034682080924855,0.8408799266727772,0.821748477248298,0.728625209404564,0.7881015532604653,0.7559610416905553,5709
0.65,0.8114265051527753,0.8227314390467461,0.8170398689240851,0.7395239478894757,0.7750328258975281,0.7555918539289288,5531
0.7,0.8205128205128205,0.803666361136572,0.812002222633821,0.7530785928322403,0.7600820117433909,0.7551979303643972,5343
0.75,0.8292016396642592,0.7787351054078827,0.8031764038570619,0.7635818412343789,0.7389684104421178,0.7494749567066528,5123
0.8,0.8386437908496732,0.7527039413382218,0.7933532991981451,0.7749525473332823,0.718723490550316,0.7437927426919378,4896
0.85,0.8485915492957746,0.7068744271310724,0.7712771277127712,0.7884591974857573,0.6865783613361391,0.7310109421597528,4544
0.9,0.8632181049490176,0.6362969752520623,0.7325875897002955,0.8072977862580517,0.6322935880457335,0.7049762772275932,4021
0.95,0.8820400500625782,0.5167736021998167,0.6517165645590106,0.8304798037946763,0.5439846467812615,0.6484690493780477,3196
