Behavior contribution summary

experiment_name: train_bjut_side_scale_050
split: test
checkpoint_epoch: 20
evaluated_samples: 14839
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.967990 | 0.226252 | 0.829114 | 0.355495 | 158 | 579 | 0.560586 | 0.539851 | 0.166429 | 0.093582 | 0.090424 | 0.094506 | 0.092178
Contract contains unknown address | 0.944673 | 0.772497 | 0.804634 | 0.788238 | 1899 | 1978 | 0.687423 | 0.368183 | 0.445804 | 0.382522 | 0.378666 | 0.395615 | 0.404120
Integer overflow or underflow | 0.929375 | 0.700608 | 0.751630 | 0.725223 | 1840 | 1974 | 0.614230 | 0.123136 | 0.676116 | 0.583605 | 0.577503 | 0.597885 | 0.547615
Timestamp dependence | 0.984366 | 0.234043 | 0.804878 | 0.362637 | 82 | 282 | 0.428814 | 0.622453 | 0.590366 | 0.198363 | 0.207758 | 0.195492 | 0.407938
DoS with failed call | 0.988274 | 0.245283 | 0.787879 | 0.374101 | 66 | 212 | 0.952310 | 0.726521 | 0.401547 | 0.313668 | 0.297280 | 0.318994 | 0.251819
Assert violation | 0.981670 | 0.218354 | 0.734043 | 0.336585 | 94 | 316 | 0.782343 | 0.001543 | 0.569980 | 0.675390 | 0.684948 | 0.672721 | 0.783763
Unchecked call return value | 0.969270 | 0.703281 | 0.665317 | 0.683773 | 741 | 701 | 0.574231 | 0.406075 | 0.187688 | 0.177922 | 0.229120 | 0.056571 | 0.062985
Unsafe send | 0.996361 | 0.887640 | 0.642276 | 0.745283 | 123 | 89 | 0.809188 | 0.754519 | 0.010430 | 0.032549 | 0.033577 | 0.024433 | 0.073604
Multiplication after division | 0.988274 | 0.560538 | 0.621891 | 0.589623 | 201 | 223 | 0.594457 | 0.001527 | 0.697547 | 0.645238 | 0.669127 | 0.614769 | 0.548958
Extra gas consumption | 0.972572 | 0.643697 | 0.662630 | 0.653026 | 578 | 595 | 0.430123 | 0.401755 | 0.656145 | 0.342256 | 0.335306 | 0.354813 | 0.315999
