threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.7347145754853666,0.9296058661778185,0.8207493728251193,0.655394719079567,0.869371532441551,0.7456186213013866,6902
0.1,0.7490642311723312,0.9171402383134739,0.8246250206032637,0.6780409519595073,0.8607491979825814,0.7572917584376713,6679
0.15,0.7575202320965033,0.9094408799266728,0.8265578140619794,0.6872014739056783,0.8552092804072344,0.7607986245001168,6549
0.2,0.766050054406964,0.903391384051329,0.8290713324360699,0.6976119356848396,0.8509527130975771,0.7655492046466486,6433
0.25,0.7713385826771654,0.8978918423464711,0.8298178737822957,0.7045755998206937,0.8475749331720419,0.768391459335561,6350
0.3,0.7798812770736403,0.891109074243813,0.8317932922655715,0.7136678165970877,0.8422078807058404,0.7716324822732152,6233
0.35,0.78466796875,0.8837763519706691,0.8312785584964221,0.7175709126488434,0.8366320444536413,0.771528087223391,6144
0.4,0.7911089076185754,0.8775435380384968,0.8320876064661915,0.724420852308419,0.8318133769409826,0.7734451974674994,6051
0.45,0.7982854261220373,0.87057745187901,0.8328656611715188,0.734378408822361,0.8260728014903606,0.7768275974392419,5949
0.5,0.8018386108273748,0.8634280476626948,0.8314943949157031,0.7385598496367733,0.81964330296129,0.7764245340031233,5874
0.55,0.8072122052704577,0.8535288725939505,0.8297246725474472,0.7429163561103636,0.813043874276966,0.7757179453178278,5768
0.6,0.8122340425531915,0.8397800183318057,0.8257773771969354,0.7474434454922376,0.7986662998642297,0.7715784140559396,5640
0.65,0.8186773255813954,0.8260311640696608,0.8223378045442102,0.7538084200952375,0.7874976515915451,0.7695438367085846,5504
0.7,0.8240671641791045,0.8097158570119156,0.8168284789644013,0.7620736155295106,0.7710776971253863,0.7658640712763822,5360
0.75,0.8288841943537546,0.7912007332722273,0.8096042018383042,0.7670350157396515,0.75717992831746,0.7612419441877539,5207
0.8,0.8310837633981739,0.7675527039413382,0.7980558467549795,0.7696653472160121,0.7417083792378484,0.754247146631795,5038
0.85,0.8365863787375415,0.7385884509624198,0.7845389932820562,0.7747081819530444,0.7222222518142211,0.7458262994617652,4816
0.9,0.8419654714475432,0.6973418881759853,0.7628597212473679,0.779822344259963,0.6836666229914423,0.7265411376767836,4518
0.95,0.8494597249508841,0.6340971585701192,0.726146740841818,0.7886270257077415,0.632028360337111,0.6989059534039148,4072
