checkpoint,detection_f1,eval_dir,large_mean_delta_vs_baseline,large_mean_delta_vs_ensemble_best_micro,large_mean_f1,macro_delta_vs_baseline,macro_delta_vs_ensemble_best_micro,macro_f1,micro_delta_vs_baseline,micro_delta_vs_ensemble_best_micro,micro_f1,variant
best_macro_f1,0.942914371557336,results/dive_major_label_v2/global_residual/best_macro_f1,-0.7928307735135605,-0.8187998694577289,0.0,-0.023747690996208437,-0.03157891943949853,0.7215244933488603,-0.0019547962096895244,-0.01392182869863734,0.8221310073541988,global_residual
best_micro_f1,0.9445687298036292,results/dive_major_label_v2/global_residual_multipool/best_micro_f1,-0.7928307735135605,-0.8187998694577289,0.0,-0.014954140209207045,-0.02278536865249714,0.7303180441358617,-0.002345930037995436,-0.014312962526943251,0.8217398735258928,global_residual_multipool
best_macro_f1,0.9445687298036292,results/dive_major_label_v2/global_residual_multipool/best_macro_f1,-0.7928307735135605,-0.8187998694577289,0.0,-0.014954140209207045,-0.02278536865249714,0.7303180441358617,-0.002345930037995436,-0.014312962526943251,0.8217398735258928,global_residual_multipool
best_micro_f1,0.9462686567164178,results/dive_major_label_v2/multipool/best_micro_f1,-0.7928307735135605,-0.8187998694577289,0.0,-0.010676652322139768,-0.018507880765429863,0.7345955320229289,-0.003042176532237262,-0.015009209021185077,0.821043627031651,multipool
best_micro_f1,0.9462686567164178,results/dive_major_label_v2/global_residual/best_micro_f1,-0.7928307735135605,-0.8187998694577289,0.0,-0.01668473179869101,-0.024515960241981105,0.7285874525463777,-0.003131800156733311,-0.015098832645681126,0.820954003407155,global_residual
best_macro_f1,0.9501480750246792,results/dive_major_label_v2/multipool/best_macro_f1,-0.7928307735135605,-0.8187998694577289,0.0,-0.026036136438059132,-0.03386736488134923,0.7192360479070096,-0.005441735767278133,-0.017408768256225948,0.8186440677966101,multipool
