epoch,global_step,train_loss_total,train_loss_mom,train_loss_etp,train_loss_efpp,train_loss_err,train_loss_vep,train_loss_vtm,valid_loss_total,valid_loss_mom,valid_loss_etp,valid_loss_efpp,valid_loss_err,valid_loss_vep,valid_loss_vtm,masked_token_accuracy,masked_token_top5_accuracy,etp_accuracy,etp_macro_f1,etp_macro_f1_excluding_normal,efpp_micro_f1,efpp_macro_f1,efpp_macro_auc,err_accuracy,err_macro_f1,vep_micro_f1,vep_macro_f1,vtm_micro_f1,vtm_macro_f1,bjut_samples,dive_samples,learning_rate,max_memory_allocated_mb,max_memory_reserved_mb
1,12000,0.5588261644272133,0.1502252736300385,0.10321956017484869,0.150153093038738,0.24771613013606172,0.21393876629966932,0.3566703047261884,0.35548391223740994,0.09695149835989525,0.008578736933593713,0.06040265026951261,0.07517904029828086,0.16319746316760617,0.3448119104901094,0.9753327784871308,0.9911934535040605,0.9972636141759237,0.9599401569720809,0.9573848502975119,0.9684389705209997,0.9280328042578726,0.995984750623863,0.980822834206712,0.966684549156463,0.312022777274492,0.22459107063969216,0.33471591731750316,0.3306484423705558,384000,384000,1.418439716312057e-05,2929.29150390625,4366.0
2,24000,0.35997477095356833,0.1119334099656359,0.009601384949472656,0.048512608955868924,0.06003749353708766,0.17860922011713654,0.3286242498738381,0.32436586133098244,0.08947632008344748,0.006395792214511678,0.04025333765824653,0.04771497261688004,0.15588924034674842,0.3404348524709286,0.9772444131984471,0.9916855779619224,0.9978481891400921,0.9680621459753868,0.9660237694276678,0.9805172254941565,0.9545527804417049,0.9982194067086407,0.9869550674545657,0.9770201788564207,0.30144080738330786,0.24559455559672536,0.31347956974407193,0.3220554818347309,384000,384000,7.092198581560285e-06,2929.29150390625,4366.0
3,36000,0.3373000953095034,0.10476930665081212,0.007977323028972022,0.03650888157225078,0.04135709247202021,0.17318733625928873,0.32550271027643857,0.31505936125794465,0.08691529902364035,0.00590774907271677,0.03494839519882661,0.03904600556026166,0.15360061898950553,0.3393587145335093,0.9779050592668793,0.9918365236989977,0.9980285448913323,0.970769013067199,0.9689036818877526,0.9830304233179279,0.9604717614165061,0.9985690456572331,0.990188426803434,0.9829522890493628,0.31117565515875634,0.2565763157377912,0.3211519637306589,0.3259426382498174,384000,384000,0.0,2929.29150390625,4366.0
