name,precision,recall,f1,support,predicted_positive_count
has_external_call,0.9989168110918544,0.9961114711600778,0.9975121687398595,4629,4616
has_delegatecall,0.9439655172413793,0.9690265486725663,0.9563318777292575,226,232
has_state_read,0.9986695809179892,0.995736213757817,0.9972007401432842,10554,10523
has_state_write,0.9995142093757591,0.9972131346177148,0.9983623460908595,8253,8234
call_before_state_write,0.8913525498891353,0.9804878048780488,0.9337979094076656,410,451
state_write_before_call,0.8565737051792829,0.9728506787330317,0.9110169491525424,663,753
call_without_return_check,0.9099804305283757,0.9528688524590164,0.9309309309309309,488,511
call_with_return_check,0.9962273048809243,0.9974032105760151,0.9968149109354724,4236,4241
state_write_with_auth_guard,0.9680822288341899,0.9816236972024136,0.9748059376276725,3646,3697
state_write_without_auth_guard,0.9893101482326112,0.9863578229359102,0.9878317796911691,7037,7016
sensitive_call_with_auth_guard,0.8782093482554312,0.9701818181818181,0.921907394609537,1375,1519
sensitive_call_without_auth_guard,0.974950884086444,0.9826732673267327,0.9787968441814596,4040,4072
env_used_in_condition,0.910095429432446,0.9705409748259239,0.9393468118195957,1867,1991
env_used_in_arithmetic_or_hash,0.8912745545911375,0.9443368828654405,0.9170387779083431,2066,2189
div_before_mul,0.9793038570084666,0.9850958126330731,0.982191296143413,4227,4252
has_hardcoded_address,0.9981973862100045,0.9981973862100045,0.9981973862100045,6657,6657
hardcoded_address_near_call,0.9803424223208624,0.9929351316634554,0.9865985960433951,4671,4731
value_or_gas_sensitive_call,0.9843672456575683,0.9962330487192366,0.990264603095357,3982,4030
dense_storage_or_call_ops,0.720703125,0.9534883720930233,0.82091212458287,387,512
panic_selector_present,1.0,1.0,1.0,216,216
selfdestruct_present,0.9555555555555556,0.9502762430939227,0.9529085872576178,181,180
create_contract_present,0.9779411764705882,0.9366197183098591,0.9568345323741008,284,272
