experiment_name,split_type,leakage_status,metric_source,threshold_mode,detection_f1,recognition_micro_f1,recognition_macro_f1,recognition_weighted_f1,recognition_samples_f1,subset_accuracy,hamming_loss,per_label_mean_f1,positive_label_only_mean_f1,macro_f1_excluding_support_lt_20,macro_f1_excluding_support_lt_50,macro_f1_excluding_support_lt_100,paper_like_avg_f1_label_mean,paper_like_avg_f1_micro,paper_like_avg_f1_weighted,paper_like_detection_recognition_avg,paper_like_detection_recognition_micro_avg,paper_like_exclude_rare_macro,paper_like_random_split_macro,predicted_positive_total,unavailable_fields,notes
strict_grouped_stride256_mil_threshold_0_5,opcode_hash_grouped,ok,aggregate_report,global,0.6967764789231314,0.611957796014068,0.4717114167774101,,,,,0.4717114167774101,,,,,0.4717114167774101,0.611957796014068,,0.5842439478502708,0.6543671374685998,,,6838,hamming_loss;macro_f1_excluding_support_lt_100;macro_f1_excluding_support_lt_20;macro_f1_excluding_support_lt_50;recognition_samples_f1;recognition_weighted_f1;subset_accuracy,Loaded from aggregate report; raw y_prob/y_pred were not available. | Per-label F1 at this threshold is missing in the aggregate report. | Prediction file not found: results/train_evm_bert_chunk_mil_mean_stride256_labelattn_weighted/test_predictions_threshold_0_5.jsonl
random_split_stride256_mil_best_global_0_55,random,warning,aggregate_report,global,0.7669389716482461,0.6588289890942841,0.5447471835902029,,,,,0.5447471835902029,,,,,0.5447471835902029,0.6588289890942841,,0.6558430776192246,0.7128839803712651,,0.5447471835902029,7147,hamming_loss;macro_f1_excluding_support_lt_100;macro_f1_excluding_support_lt_20;macro_f1_excluding_support_lt_50;recognition_samples_f1;recognition_weighted_f1;subset_accuracy,Loaded from aggregate report; raw y_prob/y_pred were not available. | Per-label F1 at this threshold is missing in the aggregate report. | Prediction file not found: results/train_evm_bert_chunk_mil_mean_stride256_labelattn_weighted_random_split/test_predictions.jsonl
evm_bert_first512_weighted,opcode_hash_grouped,ok_transductive_pretraining,aggregate_report,global,0.689495066744051,0.5659028414298809,0.4325640392593275,0.578436766702883,,,,0.4325640392593275,0.4325640392593275,0.4653010397900574,0.4653010397900574,0.5438304064325903,0.4325640392593275,0.5659028414298809,0.578436766702883,0.5610295530016893,0.627698954086966,0.4653010397900574,,5806,hamming_loss;recognition_samples_f1;subset_accuracy,Loaded from aggregate report; raw y_prob/y_pred were not available. | Prediction file not found: results/train_evm_bert_weighted/test_predictions.jsonl
codebert_weighted,opcode_hash_grouped,ok,aggregate_report,global,0.6429648782589958,0.5604428787116256,0.42149763117375605,0.5711607572094672,,,,0.42149763117375605,0.42149763117375605,0.44682532496008737,0.44682532496008737,0.529858032658488,0.42149763117375605,0.5604428787116256,0.5711607572094672,0.5322312547163759,0.6017038784853107,0.44682532496008737,,4831,hamming_loss;recognition_samples_f1;subset_accuracy,Loaded from aggregate report; raw y_prob/y_pred were not available. | Prediction file not found: results/train_mlsmote_codebert_weighted/test_predictions.jsonl
