epoch,train_loss,valid_loss,micro_f1,macro_f1,predicted_positive_total,Reentrancy_f1,Access Control_f1,Arithmetic_f1,Unchecked Return Values_f1,DoS_f1,Time manipulation_f1
1,0.5906401876892362,0.5307242108715905,0.7485350745019254,0.7053797126571074,6610,0.7599660729431722,0.865490918662806,0.7136772361571225,0.7022292993630573,0.5522914218566392,0.638623326959847
2,0.5205133157117027,0.4876243339644538,0.7613047980669657,0.72354595353368,6252,0.7770807193642828,0.8663273506563087,0.6989877464038359,0.7624309392265194,0.5756302521008403,0.6608187134502924
3,0.4835005193948746,0.4644908871915605,0.7853850666219726,0.7504751902352931,6597,0.804304503786369,0.8686868686868687,0.7535521803037726,0.76056338028169,0.6096131301289566,0.7061310782241016
4,0.4549236120922225,0.43913403153419495,0.8000680909013533,0.7662132451749892,6413,0.8087386644682606,0.8771645021645023,0.772062293534686,0.781226343679031,0.6174496644295302,0.740638002773925
5,0.4310001777751105,0.4241761498981052,0.8032330957761169,0.7710545855604489,6170,0.8170070862859524,0.8815716657443275,0.7667793336552391,0.7918622848200314,0.6325,0.7366071428571428
6,0.4129813034619604,0.4193955891662174,0.81171974522293,0.7822984646359273,6439,0.8260162601626017,0.8807692307692306,0.7898758357211079,0.7739575713240673,0.6567901234567901,0.7663817663817664
7,0.3960381173661777,0.40621479683452183,0.8125709297250109,0.7844374551843804,6119,0.8268434134217068,0.8822863610639501,0.78698224852071,0.8084772370486655,0.649379932356257,0.7526555386949925
8,0.3823301136493683,0.39628777073489296,0.8178886625933469,0.7892725591119004,6448,0.8294856217091942,0.8877065247829738,0.8063279002876319,0.7966231772831928,0.638888888888889,0.7766032417195208
9,0.3688764484865325,0.3963589121898015,0.8182699938277047,0.7936495134327033,6005,0.8222126560482135,0.8834285714285715,0.7931203931203932,0.8100242522231206,0.6738351254480287,0.7792760823278922
10,0.3558218649455479,0.3959696624014113,0.8162138084632516,0.7904724541202536,5889,0.8242784380305602,0.883248730964467,0.7710084033613445,0.8121502797761792,0.6699266503667483,0.7822222222222223
11,0.34522304769073214,0.4015268799331453,0.8194577630546596,0.7956577175211786,6135,0.8211864406779661,0.8836940836940836,0.8056365403304179,0.813717848791894,0.6809015421115066,0.7688098495212037
12,0.3332988411188126,0.3956405073404312,0.8241853981529882,0.7980043804277233,6142,0.8437754271765662,0.8839080459770114,0.8062015503875969,0.8158508158508158,0.6636971046770602,0.774593338497289
