epoch,train_loss,valid_loss,micro_f1,macro_f1,predicted_positive_total,Reentrancy_f1,Access Control_f1,Arithmetic_f1,Unchecked Return Values_f1,DoS_f1,Time manipulation_f1,Front Running_f1
1,0.7157576233148575,0.8084685968028175,0.7521805233255983,0.7083622828144084,7095,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.06748025843503232
2,0.7027014866471291,0.7833064099152883,0.759467097295115,0.7098742476794383,6983,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.07806401249024199
3,0.6804247796535492,0.7506506509251065,0.7666232073011733,0.7111977840555878,6870,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.08732876712328767
4,0.6451293304562569,0.7172852589024438,0.7726414319730683,0.7125428439017626,6777,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.09674418604651162
5,0.6388721242547035,0.6821566157870822,0.7790014076343462,0.7136980203775728,6675,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.10483042137718397
6,0.5850939676165581,0.6491089562575022,0.7853805073431241,0.7159300381029102,6582,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.12045454545454545
7,0.555776335299015,0.6236019333203634,0.7896678966789668,0.71788600896132,6522,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.13414634146341464
8,0.5312150493264198,0.6024043493800693,0.7931295781763071,0.7197904403138946,6475,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.14747736093143593
9,0.5014158599078655,0.5767074061764611,0.7956081081081081,0.7208495750876647,6438,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.15489130434782608
10,0.4904160872101784,0.5559486432207955,0.7974608548455353,0.722029459075749,6413,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.1631504922644163
11,0.4723057150840759,0.5374279783831702,0.7998981237796077,0.7232725104453825,6377,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.17185185185185187
