Behavior contribution summary

experiment_name: train_dive_front_special_supp025
split: test
checkpoint_epoch: 37
evaluated_samples: 2233
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.822212 | 0.774408 | 0.919227 | 0.840626 | 1139 | 1352 | 0.601435 | 0.623204 | 0.026864 | 0.007643 | 0.011961 | -0.007180 | 0.030728
Access Control | 0.831617 | 0.836167 | 0.965497 | 0.896190 | 1681 | 1941 | 0.885749 | 0.197143 | 0.667260 | 2.033800 | 2.052728 | 1.937195 | 1.865153
Arithmetic | 0.796238 | 0.703125 | 0.900948 | 0.789838 | 949 | 1216 | 0.696270 | 0.023799 | 0.722964 | 2.093151 | 2.102169 | 2.071795 | 2.006185
Unchecked Return Values | 0.899239 | 0.785256 | 0.843373 | 0.813278 | 581 | 624 | 0.923569 | 0.639658 | 0.024237 | 0.462221 | 0.473634 | 0.420489 | 0.513285
DoS | 0.886700 | 0.638444 | 0.745989 | 0.688039 | 374 | 437 | 0.796771 | 0.549848 | 0.029698 | 0.414931 | 0.430970 | 0.386610 | 0.367954
Bad Randomness | 0.975817 | 0.673077 | 0.486111 | 0.564516 | 72 | 52 | 0.633427 | 0.428924 | 0.773951 | 1.467681 | 1.515096 | 1.370063 | 1.080313
Front Running | 0.975817 | 0.466667 | 0.560000 | 0.509091 | 50 | 60 | 0.235573 | 0.517401 | 0.074475 | -0.160307 | -0.161650 | -0.159133 | -0.236172
Time manipulation | 0.884908 | 0.767507 | 0.857590 | 0.810052 | 639 | 714 | 0.596050 | 0.365922 | 0.697794 | 1.391882 | 1.500845 | 1.032173 | 0.942694
