Behavior contribution summary

experiment_name: train_dive_side_scale_250_ep50
split: test
checkpoint_epoch: 21
evaluated_samples: 2233
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.817286 | 0.769344 | 0.916594 | 0.836538 | 1139 | 1357 | 0.727003 | 0.630743 | 0.027466 | 0.309314 | 0.321011 | 0.270299 | 0.291511
Access Control | 0.832512 | 0.832232 | 0.973825 | 0.897478 | 1681 | 1967 | 1.036871 | 0.169204 | 0.718775 | 3.966106 | 3.999230 | 3.801790 | 3.679483
Arithmetic | 0.781460 | 0.682791 | 0.907271 | 0.779186 | 949 | 1261 | 0.838404 | 0.016916 | 0.759921 | 3.953522 | 3.985903 | 3.883823 | 3.723287
Unchecked Return Values | 0.903717 | 0.808081 | 0.826162 | 0.817021 | 581 | 594 | 1.190107 | 0.686733 | 0.028964 | 1.330846 | 1.326542 | 1.348970 | 1.351412
DoS | 0.886700 | 0.651629 | 0.695187 | 0.672704 | 374 | 399 | 0.992742 | 0.554749 | 0.042826 | 1.202047 | 1.207756 | 1.191368 | 1.062464
Bad Randomness | 0.974922 | 0.625000 | 0.555556 | 0.588235 | 72 | 64 | 0.642942 | 0.382043 | 0.713655 | 2.436386 | 2.706968 | 1.985417 | 2.199272
Front Running | 0.971339 | 0.393939 | 0.520000 | 0.448276 | 50 | 66 | 0.699645 | 0.577993 | 0.327398 | 1.122625 | 1.007798 | 1.197263 | 1.306320
Time manipulation | 0.875504 | 0.760462 | 0.824726 | 0.791291 | 639 | 693 | 0.708042 | 0.330619 | 0.718536 | 2.739895 | 2.941304 | 2.100484 | 2.100131
