epoch,train_loss,valid_loss,micro_f1,macro_f1,predicted_positive_total,Reentrancy_f1,Access Control_f1,Arithmetic_f1,Unchecked Return Values_f1,DoS_f1,Time manipulation_f1,Front Running_f1,Bad Randomness_f1
1,0.5416646589125905,0.4717560162146886,0.7348751466398525,0.5945382888225552,6479,0.7637567232105916,0.8609794628751974,0.6924603174603174,0.7,0.5012987012987014,0.6470999301187982,0.30769230769230765,0.2830188679245283
2,0.45801355242729186,0.4366615315278371,0.7474626865671642,0.6202745871637603,6270,0.7860151642796968,0.863399945250479,0.7319277108433735,0.7397464578672632,0.5761957730812013,0.5814977973568282,0.37037037037037035,0.3130434782608696
3,0.4283490655677659,0.4096924646033181,0.7679234386601764,0.6569351301895676,6666,0.8059822150363783,0.8675873273761171,0.753507014028056,0.7467057101024891,0.5743589743589743,0.6848072562358276,0.3905325443786982,0.432
4,0.39358867428132466,0.39022907780276406,0.7848837209302325,0.6744528938397394,6585,0.8228708516593363,0.8755198225672304,0.7673196368848544,0.7644055433989788,0.6035928143712576,0.7128862094951016,0.42944785276073616,0.41958041958041953
5,0.3687547519803047,0.37001433968544006,0.7964125560538117,0.6994224205531135,6810,0.8247182277497085,0.8764984666852523,0.7754505601558694,0.7850746268656715,0.6468646864686468,0.7498349834983498,0.43312101910828027,0.5038167938931297
6,0.347942838711398,0.36644462909963393,0.8033569195326641,0.7110628104810139,6699,0.819784946236559,0.8842861088097211,0.7844677137870855,0.7893175074183976,0.6520681265206812,0.7698744769874476,0.485207100591716,0.5034965034965035
7,0.3302757237638746,0.36442795395851135,0.8013976921826752,0.704337370641063,6851,0.8295409181636726,0.8855555555555555,0.7901701323251418,0.7880149812734082,0.6691635455680399,0.7338760175328741,0.5031446540880504,0.43523316062176165
8,0.3146717263119561,0.3496383676926295,0.8110528984282576,0.7223045573326095,6379,0.8300789364353967,0.884692417739628,0.7837837837837838,0.8169014084507044,0.6666666666666666,0.786861313868613,0.5408805031446541,0.4685714285714285
9,0.2983390217380864,0.3585926956600613,0.8088992196579777,0.7103639127270758,6591,0.8358445678033307,0.8901282766313442,0.7833827893175074,0.8103448275862067,0.6498353457738749,0.7893569844789357,0.5517241379310346,0.3722943722943723
10,0.28831657352192064,0.3444846835401323,0.8144648685792819,0.7346191939777855,6187,0.8317991631799164,0.8834425762325449,0.7875751503006012,0.8116627265563435,0.6691086691086692,0.7904278462654097,0.5103448275862069,0.5925925925925926
