bad_delta_vs_baseline,bad_randomness_ap,bad_randomness_f1,bad_randomness_fn,bad_randomness_fp,bad_randomness_tp,checkpoint_tag,detection_f1,dos_delta_vs_baseline,dos_f1,dos_fn,dos_fp,dos_tp,eval_dir,front_ap,front_auc,front_delta_vs_baseline,front_f1,front_fn,front_fp,front_fp_access_control,front_fp_confounder_any,front_fp_no_confounder,front_fp_reentrancy,front_fp_time_manipulation,front_precision,front_recall,front_tp,graph_evidence_attention_scale,graph_evidence_enabled,graph_evidence_logit_scale,graph_evidence_scale,graph_scale,macro_delta_vs_baseline,macro_f1,micro_delta_vs_baseline,micro_f1,rare_mean_f1,status,threshold_mode,valid_front_f1,valid_macro_f1,valid_micro_f1,validation_winner,variant
-0.07541478129713419,0.4985711765800603,0.5128205128205129,32,44,40,best_micro_f1,0.9478152309612984,-0.008618858304755617,0.690176322418136,100,146,274,results/dive_graph_evidence_search/graph_scale_050/best_micro_f1,0.4927125311301805,0.9094915254237288,-0.054086538461538436,0.484375,19,47,44,45,2,29,15,0.3974358974358974,0.62,31,0.5,True,0.5,0.5,0.5,-0.017516312293661906,0.7277558720514068,-0.0035278523186185184,0.8205579512452698,0.49859775641025644,ok,fixed_0_5,0.6225165562913908,0.776158384284635,0.8326253186066269,False,graph_scale_050
-0.08500948766603411,0.4985711765800603,0.503225806451613,33,44,39,best_micro_f1,0.9478152309612984,-0.010103948194302048,0.6886912325285895,103,142,271,results/dive_graph_evidence_search/graph_scale_050/best_micro_f1,0.4927125311301805,0.9094915254237288,-0.050272562083585715,0.4881889763779527,19,46,43,44,2,28,15,0.4025974025974026,0.62,31,0.5,True,0.5,0.5,0.5,-0.01932331357484207,0.7259488707702266,-0.005482809978713643,0.8186029935851746,0.4957073914147828,ok,best_global,0.6225165562913908,0.776158384284635,0.8326253186066269,False,graph_scale_050
-0.0028694404591105283,0.4985711765800603,0.5853658536585366,36,15,36,best_micro_f1,0.9478152309612984,-0.01336066419902382,0.6854345165238678,94,163,280,results/dive_graph_evidence_search/graph_scale_050/best_micro_f1,0.4927125311301805,0.9094915254237288,-0.07577497129735933,0.4626865671641791,19,53,48,51,2,34,19,0.36904761904761907,0.62,31,0.5,True,0.5,0.5,0.5,-0.00824228415939221,0.7370299001856765,0.003228256657437867,0.8273140602213261,0.5240262104113578,ok,per_label,0.6225165562913908,0.776158384284635,0.8326253186066269,False,graph_scale_050
-0.06409736308316427,0.517163101664678,0.5241379310344828,34,35,38,best_macro_f1,0.949479940564636,-0.006779971597416279,0.6920152091254753,101,142,273,results/dive_graph_evidence_search/graph_scale_050/best_macro_f1,0.5247789747297387,0.9137700412276684,-0.029986962190351907,0.5084745762711865,20,38,34,35,3,24,8,0.4411764705882353,0.6,30,0.5,True,0.5,0.5,0.5,-0.013412013586175053,0.7318601707588936,-0.003824652043425525,0.8202611515204628,0.5163062536528347,ok,fixed_0_5,0.6412213740458016,0.7750830302556436,0.8280479210711769,False,graph_scale_050
-0.06045751633986929,0.517163101664678,0.5277777777777778,34,34,38,best_macro_f1,0.949479940564636,-0.014857356888694717,0.6839378238341969,110,134,264,results/dive_graph_evidence_search/graph_scale_050/best_macro_f1,0.5247789747297387,0.9137700412276684,-0.021220159151193574,0.5172413793103449,20,36,32,33,3,23,7,0.45454545454545453,0.6,30,0.5,True,0.5,0.5,0.5,-0.013689192521970983,0.7315829918230977,-0.006089530602667148,0.8179962729612211,0.5225095785440613,ok,best_global,0.6412213740458016,0.7750830302556436,0.8280479210711769,False,graph_scale_050
-0.037510656436487655,0.517163101664678,0.5507246376811594,34,28,38,best_macro_f1,0.949479940564636,-0.006779971597416279,0.6920152091254753,101,142,273,results/dive_graph_evidence_search/graph_scale_050/best_macro_f1,0.5247789747297387,0.9137700412276684,-0.021220159151193574,0.5172413793103449,20,36,32,33,3,23,7,0.45454545454545453,0.6,30,0.5,True,0.5,0.5,0.5,-0.006592440106577113,0.7386797442384916,0.0009248302089742699,0.8250106337728625,0.5339830084957522,ok,per_label,0.6412213740458016,0.7750830302556436,0.8280479210711769,False,graph_scale_050
-0.042780748663101664,0.5488475264590743,0.5454545454545454,30,40,42,best_micro_f1,0.945219123505976,-0.018000478736136638,0.680794701986755,117,124,257,results/dive_graph_evidence_search/graph_scale_100/best_micro_f1,0.5111161560628142,0.9207695831424645,-0.10050533408197637,0.43795620437956206,20,57,53,54,3,40,22,0.3448275862068966,0.6,30,1.0,True,1.0,1.0,1.0,-0.023172701420768105,0.7220994829243006,-0.007291910434117144,0.8167938931297711,0.49170537491705374,ok,fixed_0_5,0.6382978723404256,0.7815521748392734,0.8305306264703319,False,graph_scale_100
-0.04977375565610864,0.5488475264590743,0.5384615384615384,30,42,42,best_micro_f1,0.945219123505976,-0.01554910742446225,0.6832460732984293,113,129,261,results/dive_graph_evidence_search/graph_scale_100/best_micro_f1,0.5111161560628142,0.9207695831424645,-0.10989010989010989,0.42857142857142855,20,60,56,57,3,42,22,0.3333333333333333,0.6,30,1.0,True,1.0,1.0,1.0,-0.023839028214009073,0.7214331561310596,-0.006183214709127416,0.8179025888547609,0.48351648351648346,ok,best_global,0.6382978723404256,0.7815521748392734,0.8305306264703319,False,graph_scale_100
-0.023017902813299296,0.5488475264590743,0.5652173913043478,33,27,39,best_micro_f1,0.945219123505976,-0.012570690926973271,0.6862244897959183,105,141,269,results/dive_graph_evidence_search/graph_scale_100/best_micro_f1,0.5111161560628142,0.9207695831424645,-0.07446153846153841,0.464,21,46,42,43,3,31,17,0.38666666666666666,0.58,29,1.0,True,1.0,1.0,1.0,-0.015463947916269705,0.729808236428799,-0.003269512553532361,0.8208162910103559,0.5146086956521739,ok,per_label,0.6382978723404256,0.7815521748392734,0.8305306264703319,True,graph_scale_100
-0.06474536123174113,0.5228452871310318,0.523489932885906,33,38,39,best_macro_f1,0.9509489770766576,-0.02824803287655875,0.6705471478463328,86,197,288,results/dive_graph_evidence_search/graph_scale_100/best_macro_f1,0.5092669245908169,0.9333027943197435,-0.12669683257918546,0.411764705882353,22,58,53,55,3,40,19,0.32558139534883723,0.56,28,1.0,True,1.0,1.0,1.0,-0.02834622571185008,0.7169259586332186,-0.006248193130569013,0.8178376104333193,0.4676273193841295,ok,fixed_0_5,0.6423357664233577,0.7784258533907471,0.8248735391592534,False,graph_scale_100
