Behavior contribution summary

experiment_name: train_dive_front_special_supp050_hn005
split: test
checkpoint_epoch: 35
evaluated_samples: 2233
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.832064 | 0.783804 | 0.926251 | 0.849095 | 1139 | 1346 | 0.593676 | 0.611495 | 0.024810 | 0.010487 | 0.015802 | -0.008783 | 0.060813
Access Control | 0.843260 | 0.854555 | 0.954194 | 0.901630 | 1681 | 1877 | 0.884184 | 0.170087 | 0.652516 | 2.049919 | 2.068069 | 1.943279 | 1.906906
Arithmetic | 0.806986 | 0.736314 | 0.850369 | 0.789242 | 949 | 1096 | 0.699191 | 0.031002 | 0.737455 | 2.108466 | 2.119086 | 2.078813 | 2.003336
Unchecked Return Values | 0.909987 | 0.817726 | 0.841652 | 0.829517 | 581 | 598 | 0.975180 | 0.678583 | 0.021971 | 0.477852 | 0.484209 | 0.449336 | 0.457224
DoS | 0.872369 | 0.585742 | 0.812834 | 0.680851 | 374 | 519 | 0.786493 | 0.537937 | 0.032791 | 0.422021 | 0.424406 | 0.418649 | 0.356148
Bad Randomness | 0.974922 | 0.681818 | 0.416667 | 0.517241 | 72 | 44 | 0.567789 | 0.572401 | 0.783673 | 1.168591 | 1.326372 | 0.830488 | 1.203694
Front Running | 0.978504 | 0.531250 | 0.340000 | 0.414634 | 50 | 32 | 0.234796 | 0.780740 | 0.087089 | -0.399335 | -0.482856 | -0.304679 | -0.654812
Time manipulation | 0.878191 | 0.764791 | 0.829421 | 0.795796 | 639 | 693 | 0.621935 | 0.344381 | 0.729723 | 1.510915 | 1.637024 | 1.100869 | 1.063306
