Behavior contribution summary

experiment_name: train_dive_side_scale_100
split: test
checkpoint_epoch: 18
evaluated_samples: 2233
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.828034 | 0.791957 | 0.899034 | 0.842105 | 1139 | 1293 | 0.486236 | 0.539584 | 0.024184 | -0.029163 | -0.025875 | -0.041683 | -0.029852
Access Control | 0.832960 | 0.837810 | 0.964902 | 0.896876 | 1681 | 1936 | 0.817269 | 0.173306 | 0.644959 | 1.288922 | 1.303188 | 1.215232 | 1.114750
Arithmetic | 0.799373 | 0.718396 | 0.868282 | 0.786260 | 949 | 1147 | 0.622949 | 0.029000 | 0.714644 | 1.308593 | 1.315407 | 1.291210 | 1.193176
Unchecked Return Values | 0.899239 | 0.796667 | 0.822719 | 0.809483 | 581 | 600 | 0.823361 | 0.632411 | 0.026810 | 0.217760 | 0.222939 | 0.197470 | 0.225361
DoS | 0.868339 | 0.579051 | 0.783422 | 0.665909 | 374 | 506 | 0.599643 | 0.454570 | 0.027671 | 0.172743 | 0.179213 | 0.163844 | 0.197765
Bad Randomness | 0.974922 | 0.642857 | 0.500000 | 0.562500 | 72 | 56 | 0.536609 | 0.501172 | 0.809350 | 0.844787 | 0.933780 | 0.684600 | 0.621930
Front Running | 0.971787 | 0.400000 | 0.520000 | 0.452174 | 50 | 65 | 0.627830 | 0.561909 | 0.286151 | 0.352072 | 0.320884 | 0.372864 | 0.489482
Time manipulation | 0.867443 | 0.735254 | 0.838811 | 0.783626 | 639 | 729 | 0.536250 | 0.312831 | 0.664766 | 0.888185 | 0.970332 | 0.660046 | 0.647676
