Behavior contribution summary

experiment_name: train_bjut_side_scale_025
split: test
checkpoint_epoch: 20
evaluated_samples: 14839
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.968731 | 0.227758 | 0.810127 | 0.355556 | 158 | 562 | 0.532043 | 0.535787 | 0.175420 | 0.042919 | 0.042169 | 0.043140 | 0.033753
Contract contains unknown address | 0.946560 | 0.790747 | 0.791996 | 0.791371 | 1899 | 1902 | 0.681602 | 0.351942 | 0.416218 | 0.186469 | 0.185695 | 0.189395 | 0.198256
Integer overflow or underflow | 0.926680 | 0.690283 | 0.741304 | 0.714885 | 1840 | 1976 | 0.583112 | 0.123247 | 0.679344 | 0.284802 | 0.282202 | 0.290597 | 0.266228
Timestamp dependence | 0.984096 | 0.234483 | 0.829268 | 0.365591 | 82 | 290 | 0.394765 | 0.603334 | 0.545855 | 0.084322 | 0.090964 | 0.082287 | 0.195388
DoS with failed call | 0.986859 | 0.227848 | 0.818182 | 0.356436 | 66 | 237 | 0.892783 | 0.710383 | 0.376270 | 0.139668 | 0.137034 | 0.140445 | 0.139113
Assert violation | 0.979985 | 0.198813 | 0.712766 | 0.310905 | 94 | 337 | 0.741847 | 0.001391 | 0.568803 | 0.327315 | 0.319909 | 0.329153 | 0.392797
Unchecked call return value | 0.969135 | 0.721440 | 0.622132 | 0.668116 | 741 | 639 | 0.565666 | 0.420606 | 0.196861 | 0.085480 | 0.110670 | 0.020242 | 0.030180
Unsafe send | 0.996563 | 0.900000 | 0.658537 | 0.760563 | 123 | 90 | 0.741463 | 0.742674 | 0.011259 | 0.002512 | 0.002351 | 0.003957 | 0.030795
Multiplication after division | 0.990700 | 0.693252 | 0.562189 | 0.620879 | 201 | 163 | 0.589945 | 0.001538 | 0.737834 | 0.331560 | 0.338714 | 0.315393 | 0.274692
Extra gas consumption | 0.973583 | 0.662021 | 0.657439 | 0.659722 | 578 | 574 | 0.430384 | 0.417942 | 0.656568 | 0.167253 | 0.166659 | 0.168416 | 0.150200
