threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.3822205551387847,0.9183489545782264,0.5397817565420066,0.27457460601487543,0.8748415443736801,0.40522532467817884,13330
0.1,0.4329098503306648,0.8967195385724586,0.5839201877934272,0.31967386687023486,0.8520536388423849,0.4501489706813434,11492
0.15,0.46687667048491793,0.881578947368421,0.6104593110334499,0.3529623990021392,0.835710657534872,0.4793483858715488,10476
0.2,0.4911887542018947,0.8691420331651045,0.6276602668402212,0.3767417956486703,0.8217679069250108,0.49678711648432794,9817
0.25,0.511291876271005,0.8610310021629416,0.6415955946544893,0.39706233762928794,0.8151028253685444,0.5114693947155005,9343
0.3,0.5292595093405357,0.8476928622927181,0.6516558126645421,0.4139692166163688,0.8026693802167625,0.5214785037280948,8886
0.35,0.5395918367346939,0.8339942321557318,0.6552432202789775,0.4249398777368686,0.7923488923373888,0.5265578696341995,8575
0.4,0.5539672925499697,0.8242609949531363,0.6626095776280518,0.4419194034423798,0.7864722686098438,0.5358445977413815,8255
0.45,0.5689330149553852,0.815969718817592,0.6704183635690485,0.4547453750581988,0.7798782176088425,0.541838023379802,7957
0.5,0.580724769450578,0.8058759913482336,0.6750207594172266,0.4670508560770898,0.7693459722550393,0.5460143109427105,7699
0.55,0.5926622765757291,0.7948810382119683,0.6790361074755563,0.4813456927178181,0.7619816666914124,0.551529260600207,7441
0.6,0.6050314465408805,0.780281182408075,0.6815712823742422,0.4926311101591952,0.7503772917567385,0.5537283792444463,7155
0.65,0.6161557460409705,0.7644196106705119,0.682326441959617,0.5013490801729896,0.7290790755269303,0.5523410730154577,6883
0.7,0.6291964150083549,0.7465753424657534,0.6828785755502432,0.5203906259606661,0.7192457491012336,0.5572859667167448,6583
0.75,0.6423334395919669,0.7263878875270368,0.6817797327017424,0.5326245984365758,0.7065643467319693,0.5572907804559308,6274
0.8,0.6565708418891171,0.6916005767844268,0.6736306179775281,0.5498332105321302,0.6790252175126577,0.5525272605839621,5844
0.85,0.7008261211644374,0.6422134102379236,0.6702407825432657,0.5543050765831181,0.5565303997508549,0.5181859844323518,5084
0.9,0.8045212765957447,0.5452415284787311,0.6499785131070048,0.580396746774604,0.3807804556232609,0.45080651156983526,3760
0.95,0.8755727881565033,0.44772891131939435,0.5924865831842576,0.6036383798568055,0.29903187767305855,0.3874952870832956,2837
