Behavior contribution summary

experiment_name: train_dive_side_scale_150_ep50
split: test
checkpoint_epoch: 36
evaluated_samples: 2233
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.813256 | 0.765832 | 0.913082 | 0.833000 | 1139 | 1358 | 0.630695 | 0.663262 | 0.025562 | -0.010507 | -0.003867 | -0.032223 | 0.003652
Access Control | 0.825347 | 0.831536 | 0.963117 | 0.892503 | 1681 | 1947 | 0.885492 | 0.195176 | 0.652876 | 2.014788 | 2.030842 | 1.935545 | 1.872536
Arithmetic | 0.803403 | 0.726465 | 0.861960 | 0.788434 | 949 | 1126 | 0.697919 | 0.027616 | 0.727113 | 2.096124 | 2.102083 | 2.080299 | 2.018346
Unchecked Return Values | 0.903717 | 0.786834 | 0.864028 | 0.823626 | 581 | 638 | 0.960536 | 0.668618 | 0.026408 | 0.477490 | 0.482764 | 0.458022 | 0.489005
DoS | 0.888043 | 0.635965 | 0.775401 | 0.698795 | 374 | 456 | 0.766730 | 0.520804 | 0.034903 | 0.421244 | 0.411701 | 0.437916 | 0.376998
Bad Randomness | 0.978056 | 0.744681 | 0.486111 | 0.588235 | 72 | 47 | 0.669238 | 0.455006 | 0.813382 | 1.541420 | 1.611266 | 1.337703 | 1.001291
Front Running | 0.978504 | 0.518519 | 0.560000 | 0.538462 | 50 | 54 | 0.740597 | 0.651155 | 0.299774 | 0.583823 | 0.509380 | 0.663993 | 0.775290
Time manipulation | 0.876847 | 0.749315 | 0.856025 | 0.799123 | 639 | 730 | 0.588058 | 0.339218 | 0.695545 | 1.416578 | 1.540080 | 1.047422 | 0.968456
