checkpoint_epoch,config,detection_delta_vs_baseline,detection_f1,front_f1,front_f1_delta_vs_baseline,front_fn,front_fp,front_hard_negative_active_count_total,front_hard_negative_lambda,front_hard_negative_loss_mean,front_precision,front_predicted_positive_count,front_recall,front_running_confounder_suppression_weight,front_running_generic_pattern_scale,front_support,front_tp,macro_delta_vs_baseline,macro_f1,micro_delta_vs_baseline,micro_f1,predicted_positive_total,result_dir,status,variant
39,configs/generated/dive_front_running_special_search/train_dive_front_special_only.yaml,0.0024552602097419607,0.9489593657086224,0.5045045045045045,-0.03395703395703398,0,11,0.0,0.0,0.0,0.45901639344262296,61,0.56,0.0,0.25,50,50,-0.008919525462338207,0.7363526588827305,-0.0001215608270823676,0.8239642427368059,6149,results/dive_front_running_special_search/train_dive_front_special_only,ok,front_special_only
37,configs/generated/dive_front_running_special_search/train_dive_front_special_supp025.yaml,-0.0021711065018893416,0.9443329989969911,0.509090909090909,-0.029370629370629397,0,10,0.0,0.0,0.0,0.4666666666666667,60,0.56,0.25,0.25,50,50,-0.00631833649941127,0.7389538478456574,0.0016022698306071836,0.8256880733944955,6396,results/dive_front_running_special_search/train_dive_front_special_supp025,ok,front_special_supp025
35,configs/generated/dive_front_running_special_search/train_dive_front_special_supp050_hn005.yaml,0.0009167766341870998,0.9474208821330675,0.4146341463414634,-0.12382739212007504,0,-18,3445.0,0.05,0.28130546185705396,0.53125,32,0.34,0.5,0.25,50,50,-0.02302147494533524,0.7222507093997335,0.003288020217121157,0.8273738237810094,6205,results/dive_front_running_special_search/train_dive_front_special_supp050_hn005,ok,front_special_supp050_hn005
23,configs/generated/dive_front_running_special_search/train_dive_front_special_supp050_hn010.yaml,-0.00830755028104857,0.9381965552178319,0.3333333333333333,-0.20512820512820512,0,2,2642.0,0.1,0.2080123963681134,0.3269230769230769,52,0.34,0.5,0.25,50,50,-0.043564263785166646,0.701707920559902,-0.0106798546740684,0.8134059488898199,6450,results/dive_front_running_special_search/train_dive_front_special_supp050_hn010,ok,front_special_supp050_hn010
