threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.5695167286245353,0.9829514207149405,0.7211835911230665,0.48620943989141074,0.9365535785808022,0.6299335355121394,9415
0.1,0.6185422740524781,0.9723189734188817,0.7560940841054882,0.5333348770031419,0.9164554282697779,0.6683210735572491,8575
0.15,0.6492185561895312,0.9594867094408799,0.7744321964933047,0.568714120858033,0.9047848413426862,0.69436344872741,8062
0.2,0.6744337412132257,0.9497708524289643,0.7887645581182919,0.5979954431661437,0.8918829639987707,0.7132269540246962,7682
0.25,0.6944482150128953,0.9378551787351054,0.7980034316019342,0.6219106657703615,0.8761114143850826,0.7256184127981327,7367
0.3,0.7105078070052047,0.9259395050412466,0.8040432983126392,0.6436167652599881,0.8621242127898588,0.7358680985580968,7109
0.35,0.7224389539083947,0.916590284142988,0.8080155138978667,0.6553487515340091,0.8492704015156181,0.739007280038698,6921
0.4,0.7365207030086387,0.9065077910174152,0.8127208480565371,0.6710841035258044,0.8352683870177949,0.7437483410268471,6714
0.45,0.74804117375941,0.8925756186984418,0.8139418254764292,0.6864842601531491,0.8216373590382748,0.7475503934051817,6509
0.5,0.7591356847791547,0.8758936755270395,0.8133458166652482,0.697799847968184,0.7945247429607676,0.7423135516877853,6294
0.55,0.7724937862468931,0.8546287809349221,0.8114882506527415,0.7151110511126597,0.7741389784411059,0.7425888683608066,6035
0.6,0.7840634701621249,0.8333638863428048,0.8079623211588021,0.7272132022334686,0.7543187720537288,0.7393969785551924,5798
0.65,0.7957963399166516,0.8051329055912008,0.8004373974849645,0.7370744930148927,0.729063555586761,0.7318626598212026,5519
0.7,0.8098659933967761,0.7644362969752521,0.7864956620143342,0.753597985821909,0.6943456434091816,0.721166351337509,5149
0.75,0.8257322175732218,0.7235563703024748,0.7712750366389839,0.7725759644353449,0.6602448980667586,0.710067459495679,4780
0.8,0.8410656867248507,0.6713107241063244,0.7466612294831277,0.7985068443962532,0.6184879948636329,0.6942432857661036,4354
0.85,0.8590403903496883,0.5809349220898259,0.6931321084864391,0.8161113311801571,0.5448244661750608,0.6497556630255716,3689
0.9,0.8768800279818119,0.45957836846929423,0.6030791436131826,0.8374483730323937,0.4509746232099271,0.5824104833344226,2859
0.95,0.91015625,0.2989917506874427,0.4501172899130675,0.8761056521509136,0.3034210178611017,0.44620844977843227,1792
