threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.2958962080294003,0.9578226387887527,0.4521206449142809,0.222093887138647,0.8940395065454657,0.35042795828034173,17959
0.1,0.34506670188878613,0.9417808219178082,0.5050749154180763,0.26320509558720573,0.8728605143357218,0.39806042592236396,15142
0.15,0.3819522001340183,0.9246575342465754,0.5405975025027663,0.294118226712016,0.8550491817008705,0.4293106421257642,13431
0.2,0.41433868974042026,0.9062725306416727,0.5686817847650285,0.32327462688089803,0.842973953223688,0.45568802419988846,12135
0.25,0.4451566308567302,0.888788752703677,0.593203007518797,0.35213625708103125,0.8279606451471297,0.4778391748126465,11077
0.3,0.47331309372245617,0.8711247296322999,0.6133637921187892,0.37788080140893476,0.8158578444194428,0.4960391508175491,10211
0.35,0.4995768986672308,0.851297764960346,0.6296493800826557,0.398476519573147,0.7921530325884509,0.507299155237319,9454
0.4,0.5195978764260702,0.829127613554434,0.6388445246857857,0.41594571801142816,0.7754718622338019,0.5149933957306463,8853
0.45,0.5409399224806202,0.8049747656813266,0.6470588235294118,0.4333748072081292,0.7570793949411986,0.5208052013353626,8256
0.5,0.561139896373057,0.7808219178082192,0.6529996985227615,0.45253364808506824,0.7383346790526669,0.5266883334135318,7720
0.55,0.5775246981339188,0.7586517664023071,0.6558117793705205,0.4661806502673744,0.7198587639307295,0.5271609636221705,7288
0.6,0.5952030606238964,0.7290915645277577,0.6553791315618924,0.4800468284457667,0.6964469340618591,0.5264518407443074,6796
0.65,0.6095523329129886,0.6970079307858688,0.6503531786074671,0.4951494497067933,0.6781796391708108,0.5260940871420507,6344
0.7,0.6259152051762302,0.6625811103100216,0.6437264687855705,0.5123377082990629,0.6578440311186835,0.5242549407652002,5873
0.75,0.6462521134698478,0.6200432588320115,0.6328764603072394,0.5294701837216707,0.6248378125234217,0.518456156144312,5323
0.8,0.6588089330024814,0.5742609949531363,0.6136363636363638,0.5455994035442089,0.6003280090274904,0.5110180771574687,4836
0.85,0.6998706338939198,0.4875630857966835,0.5747370657601191,0.5706369474964998,0.5060115468872814,0.4829429225107823,3865
0.9,0.8595505617977528,0.386085075702956,0.5328358208955225,0.579721797686344,0.27621904062495795,0.360794686976159,2492
0.95,0.9155995343422585,0.2835255948089402,0.43297550233966425,0.6302231975862751,0.1968259267937547,0.2823932324247699,1718
