threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.6652151639344263,0.952153987167736,0.7832315464072984,0.5797276250329366,0.8958948414555206,0.6993065616438969,7808
0.1,0.7016772064888644,0.9356553620531622,0.8019483070154765,0.6170692307142926,0.8765120615264537,0.7211667018073253,7274
0.15,0.7234164517053597,0.9253895508707608,0.8120324941687445,0.6438763043338948,0.8673661214975197,0.7367585271160201,6978
0.2,0.7378310400946886,0.9142071494042163,0.8166038971671853,0.6612451917834378,0.8556958662545403,0.744054171907627,6759
0.25,0.7530129672006102,0.9048579285059578,0.8219816819317235,0.6791665252648016,0.8448955098762486,0.7514246048821158,6555
0.3,0.7624041321020504,0.892942254812099,0.8225261735900034,0.689235867613976,0.8334389510786804,0.7530226132755622,6389
0.35,0.7720281960909965,0.8834097158570119,0.8239719586218689,0.6988461991803971,0.8234243085551225,0.7547981990775731,6242
0.4,0.7807407407407407,0.8694775435380385,0.8227233304423243,0.7096787107485818,0.8122488245456697,0.7563440357742431,6075
0.45,0.7891627278865632,0.8570119156736938,0.8216890763687495,0.7221487335362012,0.8021874387078973,0.7589363561729547,5924
0.5,0.7976417548118606,0.843263061411549,0.8198182142220638,0.7347095687283429,0.7923801808797828,0.7613897514582535,5767
0.55,0.8088235294117647,0.8267644362969753,0.817695585169069,0.748802947008198,0.7804765817152208,0.7635408124139267,5576
0.6,0.8164474902759771,0.8080659945004582,0.8122351206928321,0.7569714482838066,0.7624502199649977,0.7588630350995276,5399
0.65,0.824173712528824,0.7862511457378552,0.8047659255089595,0.7670329754224932,0.7466945870302891,0.7558382450795059,5204
0.7,0.8370026257321753,0.7596700274977085,0.7964635787045935,0.7820369074126841,0.723794890854977,0.7508316936315633,4951
0.75,0.8428874734607219,0.7277726856095326,0.781111657648795,0.7912722152490497,0.699565142753668,0.7413647377383896,4710
0.8,0.8514695983845636,0.6956920256645279,0.7657384987893462,0.8042006975539968,0.6697786515936162,0.7291210760330873,4457
0.85,0.858897182759451,0.6538955087076077,0.7425062447960034,0.8143357462677463,0.6317130885087567,0.7093385616792302,4153
0.9,0.8697183098591549,0.5886342804766269,0.7020881163222915,0.8254023773429179,0.5752821093759883,0.6752088393662063,3692
0.95,0.8799863620866007,0.4731439046746104,0.6154029566046734,0.8373480825101636,0.48782011236850725,0.6099189854895375,2933
