threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.33655496916131494,0.9703024747937672,0.49976395052402983,0.3142596498349961,0.9544193920184412,0.430910007567167,15727
0.1,0.3650383230215163,0.7246562786434464,0.48550724637681153,0.354379328307007,0.6859441999992089,0.39213425047575823,10829
0.15,0.428722700198544,0.5937671860678276,0.4979246733282091,0.3234914254543978,0.48733821846991165,0.2760139766545491,7555
0.2,0.4591321897073663,0.5838680109990834,0.5140413169786959,0.36264876063775586,0.4300069481117866,0.26942963301931594,6937
0.25,0.46755358462675534,0.5798350137488543,0.5176759410801963,0.21033275202520252,0.39310035467421567,0.24906522028078515,6765
0.3,0.4726837299805418,0.5789184234647112,0.5204350692155569,0.23634175548180927,0.3858119273731331,0.24565552911698418,6681
0.35,0.47818817449460405,0.5767186067827681,0.5228519195612432,0.2395962553704793,0.37817196353781724,0.2398301224461181,6579
0.4,0.5254728233089112,0.565352887259395,0.5446838572942423,0.18254426417314995,0.3509485094850948,0.2324328734508257,5869
0.45,0.588480635551142,0.5431714023831348,0.5649189704480457,0.19484011988254157,0.3099593495934959,0.23751731805588755,5035
0.5,0.6212624584717608,0.5142071494042163,0.5626880641925777,0.20442550060776662,0.2564363143631436,0.20170611433423608,4515
0.55,0.6298484459285898,0.4494958753437214,0.5246041934103551,0.24613295354487258,0.2134382048548407,0.17937601723560295,3893
0.6,0.7151185386708123,0.3373052245646196,0.458395615346288,0.28236350161891816,0.1447410727452502,0.13725572726518065,2573
0.65,0.7457180500658761,0.31127406049495876,0.43921365752715985,0.18695420958351994,0.12867975022301517,0.11386707610593744,2277
0.7,0.7457475380483438,0.30540788267644364,0.4333463389257381,0.21820420958351994,0.1251115075825156,0.10700834744084675,2234
0.75,0.7456336766681594,0.30522456461961506,0.43314255983350675,0.09320420958351992,0.125,0.10678553104155976,2233
0.8,0.7456336766681594,0.30522456461961506,0.43314255983350675,0.09320420958351992,0.125,0.10678553104155976,2233
0.85,0.7454056476916181,0.30485792850595783,0.4327348425709081,0.09317570596145226,0.12484984984984986,0.10671201232032854,2231
0.9,0.7457322551662174,0.304307974335472,0.4322353860174456,0.09321653189577718,0.12462462462462462,0.10665638653302492,2226
0.95,0.7452488687782806,0.3019248395967003,0.4297455968688846,0.09315610859728507,0.12364864864864865,0.10625806451612903,2210
