epoch,train_loss,valid_loss,micro_f1,macro_f1,predicted_positive_total,Reentrancy_f1,Access Control_f1,Arithmetic_f1,Unchecked Return Values_f1,DoS_f1,Time manipulation_f1,Front Running_f1
1,0.6519759558141232,0.3756328622500102,0.8192179554620376,0.7166976479764804,6004,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.1258278145695364
2,0.4897436425089836,0.25432945870690876,0.823332746788668,0.7270755719583678,5964,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.1984732824427481
3,0.40733333490788937,0.28300927579402924,0.8184272402682226,0.733399969227195,6081,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.24274406332453824
4,0.36434351839125156,0.24744605107439888,0.8208577168311642,0.7368174839903562,6047,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.26666666666666666
5,0.3437602911144495,0.23364209632078806,0.8217189822505903,0.7381902853631576,6035,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.2762762762762763
6,0.3187210448086262,0.24853650977214178,0.8205128205128204,0.7389748110095616,6064,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.281767955801105
7,0.3138348087668419,0.22674327923191917,0.8223057425050257,0.7419609063444609,6039,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3026706231454006
8,0.29780066572129726,0.22061295724577373,0.8230971128608924,0.7434198795498069,6028,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3128834355828221
9,0.3220067769289017,0.2238926978574859,0.822768208446271,0.7433382905111626,6035,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3123123123123123
10,0.29419966507703066,0.22321795837746727,0.8227272727272728,0.7437902731060024,6038,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.31547619047619047
11,0.28832854330539703,0.21926265623834398,0.8230150402238544,0.7443332613856517,6034,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3192771084337349
12,0.2815611772239208,0.2113091904256079,0.8233441245953277,0.7444365316094038,6027,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.32
13,0.2629633881151676,0.20813362962669796,0.8231280615815255,0.7440184131425048,6030,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3170731707317073
14,0.2598491394892335,0.21042541662851968,0.8230971128608924,0.7434198795498069,6028,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3128834355828221
15,0.25700336415320635,0.2179436923729049,0.8224495148177288,0.742219047600875,6037,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3044776119402985
16,0.26169496215879917,0.20348614950974783,0.8235706155327905,0.7437875906450053,6019,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3154574132492113
17,0.2617343356832862,0.1920800589852863,0.8243029984218833,0.7441337879954019,6004,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.31788079470198677
18,0.2566105406731367,0.1925928220152855,0.8241893076248903,0.7444738798820462,6008,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.32026143790849676
19,0.24305673968046904,0.19481804056300056,0.8237974239901866,0.743105047559473,6011,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3106796116504854
20,0.2326277205720544,0.19697701103157467,0.82368398002978,0.7434506803999105,6015,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.31309904153354634
21,0.2205302007496357,0.20257230268584359,0.8235088026626961,0.742537855205935,6015,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.30670926517571884
22,0.23398824222385883,0.19511018859015572,0.824014022787029,0.7435401730659864,6008,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3137254901960785
