best_global_macro_f1,best_global_micro_f1,best_global_threshold,beta_reliable_init,beta_reliable_mean,dataset,detection_f1,effect_type_evidence_weight,gamma_reliable_init,gamma_reliable_mean,missing_check_evidence_weight,per_label_macro_f1,per_label_micro_f1,predicted_positive_final_evidence_mean,predicted_positive_missing_check_mean,predicted_positive_protective_mean,predicted_positive_risk_mean,predicted_positive_total,protective_evidence_weight,relation_evidence_weight,result_dir,risk_evidence_weight,side_evidence,status,threshold_0_5_macro_f1,threshold_0_5_micro_f1,variant
0.5685011345398714,0.6855214526755584,0.75,0.1,,BJUT,0.7939939939939941,0.5,0.1,,1.0,0.566021600055987,0.6837716484926234,,,,,6690,1.0,0.5,results/ablation_evef_mvd_v2/train_bjut_no_side,1.0,False,ok,0.5566220291783058,0.6768032907301308,no_side
0.562644891363004,0.6725880052151237,0.75,0.05,0.04833642765879631,BJUT,0.7929408184999239,0.125,0.05,0.04227760583162308,0.25,0.5604023522711133,0.6724028043339706,0.16522995850317282,0.4364432546318099,0.39088439458747654,0.6153609721709435,6770,0.25,0.125,results/ablation_evef_mvd_v2/train_bjut_side_scale_025,0.25,True,ok,0.5503518468575775,0.6686076133634179,side_scale_025
0.5608045656092434,0.6790697674418604,0.7,0.075,0.0720328450202942,BJUT,0.7969991173874669,0.25,0.075,0.06184953004121781,0.5,0.5613984517154844,0.6769303275469327,0.34450967841410407,0.44020523054835525,0.394556242372051,0.6433703712879073,6949,0.5,0.25,results/ablation_evef_mvd_v2/train_bjut_side_scale_050,0.5,True,ok,0.5422263204151379,0.6615199376726396,side_scale_050
0.5666406071936446,0.6839958409981605,0.75,0.1,0.09440140500664711,BJUT,0.7995212447636146,0.5,0.1,0.08151839599013329,1.0,0.5664302641039266,0.6831737133068598,0.7516806774277441,0.44433663969199405,0.3786650838298542,0.6860091204202755,7061,1.0,0.5,results/ablation_evef_mvd_v2/train_bjut_side_scale_100,1.0,True,ok,0.5482379887221916,0.6715952743350003,side_scale_100
0.5648130761209734,0.6847405112316033,0.75,0.15,0.134178327023983,BJUT,0.7976809870670432,1.0,0.15,0.12419880256056785,2.0,0.5640495351407596,0.684181284228907,1.7912862473007067,0.4681647156238335,0.3900658244711717,0.8175442438423511,6817,2.0,1.0,results/ablation_evef_mvd_v2/train_bjut_side_scale_200,2.0,True,ok,0.5484918790382375,0.6672328379334749,side_scale_200
0.5670255370297462,0.6802430612580062,0.75,0.15,0.13521877080202102,BJUT,0.7937719432147763,0.75,0.15,0.12116742730140687,2.0,0.5635078395929092,0.6791617240015817,1.516536915405569,0.4731360182005238,0.38483372219089473,0.7650103169010225,6863,1.5,0.75,results/ablation_evef_mvd_v2/train_bjut_side_mechanism_weighted,1.5,True,ok,0.5516196222506577,0.6740157480314961,side_mechanism_weighted
0.7094970155291154,0.8104063934704983,0.45,0.1,,DIVE,0.9408521303258146,0.5,0.1,,1.0,0.7124358181382573,0.8144614612101431,,,,,6464,1.0,0.5,results/ablation_evef_mvd_v2/train_dive_no_side,1.0,False,ok,0.7065753760240615,0.8074253990284525,no_side
0.7262992619244731,0.821342096160498,0.55,0.05,0.050196208991110325,DIVE,0.9516765285996056,0.125,0.05,0.04830534849315882,0.25,0.7265515108446708,0.8200289041911076,0.13550272788494072,0.40107037307974214,0.42552908466844463,0.5664696251582685,6278,0.25,0.125,results/ablation_evef_mvd_v2/train_dive_side_scale_025,0.25,True,ok,0.7250271192299591,0.8202686617922121,side_scale_025
0.7181179467781197,0.8109718692489704,0.55,0.075,0.07497780118137598,DIVE,0.9476570289132602,0.25,0.075,0.07246486097574234,0.5,0.7253081054133567,0.819509695054241,0.27973521574136606,0.3854396206520717,0.4075294343689153,0.5815602444896039,6222,0.5,0.25,results/ablation_evef_mvd_v2/train_dive_side_scale_050,0.5,True,ok,0.7185090582888354,0.8142672969488612,side_scale_050
0.7160536830571396,0.8154387112601192,0.35,0.1,0.09919130802154541,DIVE,0.948019801980198,0.5,0.1,0.09694492351263762,1.0,0.7248666115792536,0.8189895912668191,0.630487480755916,0.39981692321613493,0.4005978832723715,0.631268443540106,6332,1.0,0.5,results/ablation_evef_mvd_v2/train_dive_side_scale_100,1.0,True,ok,0.721429777033635,0.8168142353649102,side_scale_100
0.7308268737103812,0.8247708008994983,0.55,0.15,0.14492085948586464,DIVE,0.9503475670307846,1.0,0.15,0.14532548375427723,2.0,0.73989125485349,0.8249630080946994,1.5486441749882518,0.40627414141544305,0.41865900048242755,0.7867069475864222,6004,2.0,1.0,results/ablation_evef_mvd_v2/train_dive_side_scale_200,2.0,True,ok,0.7282389302868538,0.8229264542581362,side_scale_200
0.7174523921643092,0.813709327548807,0.55,0.15,0.14676149748265743,DIVE,0.9495902657064812,0.75,0.15,0.14566761441528797,2.0,0.7206792218013575,0.8158802254184542,1.2802785661689793,0.41018850343728913,0.42284528051919107,0.7294463165944363,6404,1.5,0.75,results/ablation_evef_mvd_v2/train_dive_side_mechanism_weighted,1.5,True,ok,0.7175690945190975,0.8134410888983412,side_mechanism_weighted
