Behavior contribution summary

experiment_name: train_dive_side_scale_150_sampler_bce
split: test
checkpoint_epoch: 32
evaluated_samples: 2233
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.826243 | 0.779598 | 0.919227 | 0.843674 | 1139 | 1343 | 0.582992 | 0.604417 | 0.025619 | 0.006291 | 0.010274 | -0.007799 | 0.025730
Access Control | 0.834304 | 0.840519 | 0.962522 | 0.897393 | 1681 | 1925 | 0.868921 | 0.175825 | 0.652444 | 2.018310 | 2.034070 | 1.935249 | 1.922505
Arithmetic | 0.798925 | 0.716638 | 0.871444 | 0.786495 | 949 | 1154 | 0.686432 | 0.034398 | 0.740599 | 2.088949 | 2.105883 | 2.046121 | 1.875657
Unchecked Return Values | 0.897895 | 0.761481 | 0.884682 | 0.818471 | 581 | 675 | 1.002331 | 0.699949 | 0.026834 | 0.493823 | 0.502783 | 0.465219 | 0.505035
DoS | 0.895208 | 0.697740 | 0.660428 | 0.678571 | 374 | 354 | 0.775736 | 0.533027 | 0.028388 | 0.406645 | 0.392580 | 0.439113 | 0.402983
Bad Randomness | 0.974026 | 0.612903 | 0.527778 | 0.567164 | 72 | 62 | 0.602329 | 0.376065 | 0.765258 | 1.487283 | 1.571485 | 1.353963 | 0.997711
Front Running | 0.974474 | 0.442623 | 0.540000 | 0.486486 | 50 | 61 | 0.685082 | 0.568513 | 0.336258 | 0.679240 | 0.509755 | 0.813832 | 0.624972
Time manipulation | 0.882669 | 0.762901 | 0.856025 | 0.806785 | 639 | 717 | 0.617088 | 0.355051 | 0.718586 | 1.470934 | 1.605590 | 1.037661 | 0.989843
