epoch,train_loss,valid_loss,micro_f1,macro_f1,predicted_positive_total,Reentrancy_f1,Access Control_f1,Arithmetic_f1,Unchecked Return Values_f1,DoS_f1,Bad Randomness_f1,Front Running_f1,Time manipulation_f1
1,0.625456178188324,0.5254800717035929,0.6888696881627523,0.5463243085612781,7276,0.7445529676934636,0.8536146128119372,0.6363636363636364,0.6183745583038869,0.4512040557667934,0.21238938053097342,0.22559652928416488,0.628498727735369
2,0.5350210130214691,0.47855456670125324,0.7201276983885679,0.5885379312736537,7701,0.7795823665893272,0.853024453024453,0.7242183854409705,0.6707224334600761,0.5069033530571992,0.26609442060085836,0.27089337175792505,0.63686466625842
3,0.49084416776895523,0.43302075068155926,0.744544495822179,0.6185036039653906,6872,0.7810552555047776,0.8633938100320171,0.7398334149926505,0.7298578199052134,0.5572609208972846,0.271604938271605,0.34057971014492755,0.6644429619746498
4,0.4626262471079826,0.44231563806533813,0.7409215746109246,0.6123693965592634,7653,0.8010732081257186,0.8642951251646904,0.7451879010082493,0.7422096317280453,0.5520628683693517,0.25,0.27403846153846156,0.6700879765395894
5,0.4392121762037277,0.40488773584365845,0.7611975669484161,0.643453951409905,7204,0.8069758224336108,0.8667948365833561,0.7450980392156862,0.7743362831858407,0.5771543086172344,0.28158844765342955,0.3942307692307693,0.7014531043593131
6,0.4181149065494537,0.3979658782482147,0.7677973028197794,0.6527069986313969,6780,0.8054187192118226,0.8692810457516341,0.742544731610338,0.7853403141361256,0.5943396226415095,0.25949367088607594,0.4383561643835617,0.7268817204301076
7,0.4037799134850502,0.38222113251686096,0.779929721336929,0.664006142327409,6782,0.8187599364069953,0.8705114254624592,0.7581508515815086,0.7899159663865546,0.605729877216917,0.35238095238095235,0.39080459770114945,0.7257955314827353
8,0.38697805255651474,0.39362606406211853,0.773804804566717,0.6566754445578047,7158,0.8166797797010228,0.8714247527399092,0.7718808193668528,0.7387755102040816,0.6062246278755075,0.26623376623376627,0.45999999999999996,0.7221843003412969
9,0.3754172369837761,0.3995436131954193,0.7737678855325916,0.6609623684968777,7125,0.8237179487179486,0.875611080934275,0.7797998180163785,0.7510373443983402,0.6142131979695431,0.1951219512195122,0.5082872928176795,0.7399103139013452
10,0.36156845688819883,0.3855896194775899,0.7838134001252348,0.6800955600499323,7321,0.8241284763023894,0.874731182795699,0.7804655408489275,0.7855563743551952,0.5581802274715661,0.39069767441860465,0.46632124352331605,0.7606837606837606
11,0.3531170442700386,0.38654279708862305,0.7777140516181893,0.6595015791187839,6750,0.8298482984829849,0.8744369369369369,0.7619999999999999,0.7942073170731706,0.6425000000000001,0.24855491329479767,0.3952569169960475,0.729208250166334
12,0.34227310568094255,0.37307732303937274,0.7980097905465051,0.6912416829052841,7006,0.8283699059561128,0.8769562871019968,0.7921896792189679,0.8105181747873164,0.6310679611650484,0.45054945054945056,0.38490566037735846,0.7553763440860215
13,0.3318672403693199,0.37449193994204205,0.7930432020330369,0.684915962850105,7137,0.8258317025440315,0.8794133623030961,0.7838214783821479,0.807905138339921,0.6212424849699398,0.3514644351464435,0.4495412844036697,0.7601078167115903
14,0.32230617105960846,0.3798360327879588,0.7846153846153845,0.6841864892797036,6765,0.8207395498392284,0.8652440806781644,0.7746000969461949,0.7943156320119671,0.6552119129438717,0.32824427480916024,0.4971751412429378,0.7379612257661039
15,0.31212223768234254,0.3735110859076182,0.8014241786696877,0.7031159760128964,6903,0.8276947285601888,0.882273342354533,0.7853452325035227,0.796711509715994,0.6327193932827736,0.4137931034482759,0.5139664804469274,0.7724240177909563
16,0.30302668213844297,0.38244648774464923,0.7973427376363488,0.6854186441092166,6738,0.830807046292503,0.8833054159687326,0.7870669745958431,0.8125984251968503,0.6546854942233633,0.23756906077348067,0.5,0.7773167358229599
17,0.300048241019249,0.35277464985847473,0.8136778374690885,0.7285173071787795,6272,0.8354430379746836,0.8859250851305335,0.7758964143426293,0.8163580246913581,0.6567901234567901,0.49333333333333323,0.5694444444444445,0.7949479940564637
18,0.2880272209644318,0.3556225697199504,0.8086762149184535,0.7192454771653565,6624,0.8361122407482716,0.8844078386821925,0.7919020715630884,0.8118361153262519,0.6396588486140724,0.5153374233128835,0.4945054945054946,0.7802037845705967
19,0.28023559004068377,0.36577722430229187,0.8094328655650586,0.7067450980893053,6588,0.8355029585798817,0.8913464196848216,0.780952380952381,0.8071748878923768,0.6596491228070176,0.3943661971830986,0.49484536082474223,0.7901234567901235
20,0.2747469052672386,0.3556050856908162,0.8138737985791893,0.7281400104897728,6510,0.8397009966777409,0.8834951456310679,0.7938288920056101,0.8056801195814648,0.6590389016018307,0.5063291139240507,0.5419354838709678,0.7951114306254493
21,0.26825087815523146,0.3649316032727559,0.8115351993214588,0.7222430584080111,6335,0.8323301805674979,0.8897100625355315,0.7910656119125176,0.8009223674096849,0.6557377049180328,0.471264367816092,0.5531914893617023,0.7837226827430294
