Behavior contribution summary

experiment_name: train_bjut_side_scale_100
split: test
checkpoint_epoch: 29
evaluated_samples: 14839
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.967990 | 0.226252 | 0.829114 | 0.355495 | 158 | 579 | 0.600956 | 0.543852 | 0.177336 | 0.234440 | 0.223952 | 0.237507 | 0.264993
Contract contains unknown address | 0.949862 | 0.811321 | 0.792522 | 0.801811 | 1899 | 1855 | 0.680726 | 0.327925 | 0.419847 | 0.772648 | 0.764697 | 0.806838 | 0.782385
Integer overflow or underflow | 0.928162 | 0.682032 | 0.788043 | 0.731215 | 1840 | 2126 | 0.699804 | 0.132893 | 0.677631 | 1.244543 | 1.244372 | 1.244911 | 1.189079
Timestamp dependence | 0.983355 | 0.224080 | 0.817073 | 0.351706 | 82 | 299 | 0.443394 | 0.581015 | 0.569130 | 0.431508 | 0.472205 | 0.419755 | 0.784758
DoS with failed call | 0.987735 | 0.226415 | 0.727273 | 0.345324 | 66 | 212 | 1.039494 | 0.724103 | 0.455555 | 0.770946 | 0.739246 | 0.780224 | 0.606523
Assert violation | 0.978368 | 0.192412 | 0.755319 | 0.306695 | 94 | 369 | 0.832860 | 0.001460 | 0.591205 | 1.422605 | 1.383023 | 1.432036 | 1.551491
Unchecked call return value | 0.969540 | 0.691899 | 0.703104 | 0.697456 | 741 | 753 | 0.630161 | 0.400298 | 0.178000 | 0.407864 | 0.507688 | 0.183689 | 0.200024
Unsafe send | 0.996428 | 0.843137 | 0.699187 | 0.764444 | 123 | 102 | 0.835031 | 0.676832 | 0.012219 | 0.170418 | 0.181275 | 0.112062 | 0.242934
Multiplication after division | 0.991374 | 0.721212 | 0.592040 | 0.650273 | 201 | 165 | 0.661424 | 0.001403 | 0.733081 | 1.393102 | 1.429081 | 1.300028 | 1.164077
Extra gas consumption | 0.972977 | 0.647255 | 0.673010 | 0.659881 | 578 | 601 | 0.436241 | 0.396871 | 0.629361 | 0.668731 | 0.677615 | 0.652431 | 0.624726
