Behavior contribution summary

experiment_name: train_dive_side_scale_200_batch1024_ep50
split: test
checkpoint_epoch: 21
evaluated_samples: 2233
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.825795 | 0.791602 | 0.893766 | 0.839588 | 1139 | 1286 | 0.645181 | 0.595250 | 0.027239 | 0.154341 | 0.160694 | 0.130208 | 0.118284
Access Control | 0.829825 | 0.834104 | 0.966092 | 0.895259 | 1681 | 1947 | 0.935125 | 0.166703 | 0.673023 | 2.882889 | 2.901885 | 2.787377 | 2.668705
Arithmetic | 0.793999 | 0.702568 | 0.893572 | 0.786642 | 949 | 1207 | 0.768122 | 0.021251 | 0.742166 | 2.978074 | 2.987262 | 2.956371 | 2.779941
Unchecked Return Values | 0.901478 | 0.809605 | 0.812392 | 0.810997 | 581 | 583 | 1.078013 | 0.681241 | 0.022949 | 0.839441 | 0.842083 | 0.828207 | 0.912233
DoS | 0.884460 | 0.637441 | 0.719251 | 0.675879 | 374 | 422 | 0.874236 | 0.533457 | 0.040270 | 0.762098 | 0.768773 | 0.750361 | 0.691254
Bad Randomness | 0.975369 | 0.697674 | 0.416667 | 0.521739 | 72 | 43 | 0.689399 | 0.388445 | 0.743889 | 2.089684 | 2.246647 | 1.727463 | 1.549173
Front Running | 0.975369 | 0.459016 | 0.560000 | 0.504505 | 50 | 61 | 0.735282 | 0.649067 | 0.300810 | 0.774050 | 0.833374 | 0.723716 | 0.991177
Time manipulation | 0.876399 | 0.758916 | 0.832551 | 0.794030 | 639 | 701 | 0.662374 | 0.330473 | 0.724782 | 2.113366 | 2.280422 | 1.587485 | 1.636887
