threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.6713512119649304,0.9545371219065077,0.7882824918628415,0.5930299382350191,0.8805848117201318,0.7063116809770328,7756
0.1,0.7054455445544554,0.9404216315307058,0.8061601320028287,0.6371124379321935,0.8655861544126102,0.7328875287211571,7272
0.15,0.7210923055041957,0.9294225481209899,0.8121095627102355,0.6618958006780659,0.8538681050637686,0.7446167621647466,7031
0.2,0.7341939269473375,0.9175068744271311,0.815677966101695,0.6786659463729094,0.8418713215159348,0.7508321974503871,6817
0.25,0.7458596808190304,0.9081576535288726,0.8190460444738366,0.6901063198918449,0.831573695898455,0.7536975419951804,6642
0.3,0.755189912348147,0.9002749770852428,0.821374811841445,0.6996116218968134,0.8240297254738516,0.7561839851861432,6503
0.35,0.7671815889029003,0.8922089825847846,0.8249851682345962,0.7153488525705496,0.8121570474643736,0.7597622981549108,6344
0.4,0.7754380324706639,0.8843263061411549,0.8263103802672149,0.7280524289043452,0.804625479099328,0.7633310916129346,6221
0.45,0.7832649712879409,0.875160403299725,0.8266666666666667,0.7393288535545317,0.7899298091889086,0.762223845507975,6095
0.5,0.7914707857622566,0.8641613198900092,0.8262203137323635,0.7483335803718388,0.7792035176804256,0.7618603322915575,5956
0.55,0.800343347639485,0.8546287809349221,0.8265957446808512,0.757136318216494,0.7676182085850549,0.7605752207765558,5825
0.6,0.8073604507835886,0.84051329055912,0.8236033770432908,0.7629159394562266,0.7523075077445472,0.7557220351254261,5679
0.65,0.8162338841474487,0.8240146654445463,0.82010582010582,0.7699594785735671,0.7365034698038668,0.7510864609010701,5507
0.7,0.8241469816272966,0.8058661778185151,0.8149040689591251,0.7808942785445405,0.7230114795955769,0.749038281103999,5334
0.75,0.8340763713898042,0.7888175985334556,0.810815903523648,0.7911034399409784,0.7074036796958811,0.7450608403162096,5159
0.8,0.8423387096774193,0.7659028414298809,0.8023043686989918,0.8033421969516443,0.6894727589091119,0.7400683412179447,4960
0.85,0.8547968885047537,0.7252062328139322,0.7846870970941188,0.8191595941955448,0.6603334205992877,0.7298432242370526,4628
0.9,0.8680638247201715,0.6681943171402384,0.7551274083281543,0.8386636960864609,0.6188841122976976,0.7111571004000241,4199
0.95,0.8890180127832655,0.5609532538955087,0.6878723165111834,0.8604686291924704,0.5305793027893305,0.6557600192521291,3442
