Behavior contribution summary

experiment_name: train_dive_side_scale_200_batch512_ep50
split: test
checkpoint_epoch: 16
evaluated_samples: 2233
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.820421 | 0.772526 | 0.918349 | 0.839150 | 1139 | 1354 | 0.586898 | 0.539308 | 0.027370 | 0.149920 | 0.154753 | 0.133505 | 0.103415
Access Control | 0.831617 | 0.849491 | 0.943486 | 0.894025 | 1681 | 1867 | 0.989904 | 0.191283 | 0.703793 | 3.004827 | 3.021727 | 2.909442 | 2.787507
Arithmetic | 0.790416 | 0.708225 | 0.861960 | 0.777567 | 949 | 1155 | 0.757418 | 0.020713 | 0.751878 | 2.977164 | 2.997382 | 2.928087 | 2.902921
Unchecked Return Values | 0.904613 | 0.794872 | 0.853701 | 0.823237 | 581 | 624 | 1.130309 | 0.720404 | 0.029826 | 0.879461 | 0.894798 | 0.820030 | 0.908113
DoS | 0.879534 | 0.624113 | 0.705882 | 0.662484 | 374 | 423 | 0.910903 | 0.559533 | 0.030817 | 0.764374 | 0.764753 | 0.763745 | 0.635252
Bad Randomness | 0.974474 | 0.647059 | 0.458333 | 0.536585 | 72 | 51 | 0.617510 | 0.485221 | 0.808935 | 1.882448 | 2.099188 | 1.485092 | 1.481406
Front Running | 0.971787 | 0.405797 | 0.560000 | 0.470588 | 50 | 69 | 0.729585 | 0.601233 | 0.345982 | 0.948669 | 0.729499 | 1.098346 | 1.230984
Time manipulation | 0.881773 | 0.781955 | 0.813772 | 0.797546 | 639 | 665 | 0.675216 | 0.375499 | 0.735062 | 2.069556 | 2.221416 | 1.524956 | 1.453823
