best_global_macro_f1,best_global_micro_f1,best_global_threshold,best_loss_epoch,best_macro_f1_epoch,beta_reliable_init,beta_reliable_mean,checkpoint_epoch,coefficient_scale,config,detection_f1,early_stopping_patience,effect_type_evidence_weight,epochs,fixed_0_5_macro_f1,fixed_0_5_micro_f1,gamma_reliable_init,gamma_reliable_mean,macro_delta_vs_old_side_scale_200,micro_delta_vs_old_side_scale_200,missing_check_evidence_weight,per_label_macro_f1,per_label_micro_f1,predicted_positive_total,protective_evidence_weight,relation_evidence_weight,result_dir,risk_evidence_weight,status,valid_best_macro_f1,valid_best_macro_threshold,variant
0.7395808005784166,0.8170857733379264,0.5,9,36,0.125,0.12109013181179762,36,1.5,configs/generated/dive_side_scale_search/train_dive_side_scale_150_ep50.yaml,0.9465041054988804,10,0.75,50,0.7395808005784166,0.8170857733379264,0.125,0.11953051947057247,0.005380929491578645,-0.0008772045308110821,1.5,0.7452721843450687,0.8240858035638883,6356,1.5,0.75,results/dive_side_scale_search/train_dive_side_scale_150_ep50,1.5,ok,0.7739024137840163,0.5,side_scale_150_ep50
0.722260451463773,0.8068795169700851,0.65,12,21,0.15,0.1447710357606411,21,2.0,configs/generated/dive_side_scale_search/train_dive_side_scale_200_ep50.yaml,0.9404971127290986,10,1.0,50,0.7259476232805271,0.8181424738163248,0.15,0.1450794581323862,-0.011311492287236047,-0.003318355346510149,2.0,0.728579762566254,0.8216446527481892,6250,2.0,1.0,results/dive_side_scale_search/train_dive_side_scale_200_ep50,2.0,ok,0.7611804641312089,0.65,side_scale_200_ep50
0.7264624461638325,0.8128313891834571,0.55,12,21,0.175,0.16634085774421692,21,2.5,configs/generated/dive_side_scale_search/train_dive_side_scale_250_ep50.yaml,0.9438314944834504,10,1.25,50,0.7257690694856858,0.8150708606982371,0.175,0.1691609937697649,-0.011050063882663053,-0.004670226671175781,2.5,0.728841190970827,0.8202927814235236,6401,2.5,1.25,results/dive_side_scale_search/train_dive_side_scale_250_ep50,2.5,ok,0.7630912820219422,0.55,side_scale_250_ep50
0.7389793128448792,0.8241188959660297,0.35,10,39,0.2,0.1810541208833456,39,3.0,configs/generated/dive_side_scale_search/train_dive_side_scale_300_ep50.yaml,0.9477611940298507,10,1.5,50,0.7409358936202062,0.8201527253576758,0.2,0.19161886721849442,-0.007043567097689718,-0.0014741747757375245,3.0,0.7328476877558003,0.8234888333189618,6112,3.0,1.5,results/dive_side_scale_search/train_dive_side_scale_300_ep50,3.0,ok,0.7671413286828865,0.35,side_scale_300_ep50
0.7353800562325996,0.822481625594466,0.35,12,48,0.2,0.18568192794919014,48,2.0,configs/generated/dive_side_scale_search/train_dive_side_scale_200_gate020_ep50.yaml,0.9399543957436027,10,1.0,50,0.7328604111295223,0.8175560918923751,0.2,0.18891491554677486,-0.004426111636538166,-0.0020310979629958315,2.0,0.7354651432169519,0.8229319101317035,6132,2.0,1.0,results/dive_side_scale_search/train_dive_side_scale_200_gate020_ep50,2.0,ok,0.7674552165615525,0.35,side_scale_200_gate020_ep50
0.7347734409122285,0.8175912921348314,0.6,11,36,0.2,0.18411005102097988,36,2.5,configs/generated/dive_side_scale_search/train_dive_side_scale_250_gate020_ep50.yaml,0.9483661761037665,10,1.25,50,0.7346418176021474,0.8184705175521414,0.2,0.19090194255113602,-0.003990395830968052,-0.0053134031479457056,2.5,0.735900859022522,0.8196496049467537,6159,2.5,1.25,results/dive_side_scale_search/train_dive_side_scale_250_gate020_ep50,2.5,ok,0.7704151330706699,0.6,side_scale_250_gate020_ep50
