epoch,train_loss,valid_loss,micro_f1,macro_f1,predicted_positive_total,Reentrancy_f1,Access Control_f1,Arithmetic_f1,Unchecked Return Values_f1,DoS_f1,Time manipulation_f1,Front Running_f1,Bad Randomness_f1
1,0.7227950319647789,0.7285832365353903,0.7538032656312227,0.6618928660798284,7100,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.05560235888795282
2,0.6608386039733887,0.7245890928639306,0.763847456260582,0.664121315180187,6948,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.07342995169082125
3,0.6037170961499214,0.6789874964290195,0.7805601317957165,0.6675721048975909,6685,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.10103626943005181
4,0.5856723412871361,0.611935598982705,0.7875311720698255,0.6692930243910399,6575,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.11480362537764349
5,0.5525336489081383,0.5741613672839271,0.7912179647716837,0.6713091833301273,6524,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1309328968903437
6,0.4987412206828594,0.5744970606433021,0.7913224864413851,0.6723655858055443,6530,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1393841166936791
7,0.5026279352605343,0.5698828233612908,0.7894824430021635,0.6722502635265267,6563,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.13846153846153844
8,0.47560249269008636,0.537362406651179,0.7917222963951936,0.6732055582318215,6529,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1461038961038961
9,0.46473750099539757,0.5086685799890094,0.7926482873851295,0.6736302788600304,6515,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1495016611295681
10,0.4367108754813671,0.5057640671730042,0.791920540856356,0.6732949366348213,6526,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1468189233278956
11,0.43047886714339256,0.4989385853211085,0.7920841683366733,0.6730346764819923,6521,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.14473684210526316
12,0.43855664506554604,0.47851164804564583,0.793608299171756,0.6737459900222532,6498,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.15042735042735042
13,0.42338060215115547,0.4610467354456584,0.7952049626959511,0.6745504143560893,6474,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1568627450980392
14,0.4082067087292671,0.47652505338191986,0.7941398074508164,0.6740066960021966,6490,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.15251299826689774
15,0.39665336534380913,0.4875222262408998,0.7939404084365584,0.6739080884602138,6493,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.15172413793103448
16,0.38916798681020737,0.4621269057194392,0.7960057061340942,0.6749790010913299,6462,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.16029143897996356
17,0.39265161007642746,0.43980685538715786,0.797612040696208,0.6758949521712154,6438,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.16761904761904764
18,0.3866545222699642,0.4477027952671051,0.7964066828981612,0.6752003981064956,6456,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.16206261510128914
19,0.41249527782201767,0.42642773853407967,0.7972427706792199,0.6753024197036829,6441,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1628787878787879
20,0.4030047282576561,0.42361102832688224,0.7975109317188025,0.675457838394407,6437,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.16412213740458015
21,0.35979774594306946,0.44006038539939457,0.7964393684917702,0.6748499786262419,6453,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.15925925925925927
22,0.4043738469481468,0.4139607763952679,0.7986526315789474,0.6761457270373749,6420,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1696252465483235
23,0.34899264201521873,0.4325735949807697,0.7973097940311055,0.675341053192269,6440,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1631878557874763
24,0.3513460345566273,0.4490279224183824,0.7967069892473119,0.6749985413680881,6449,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.16044776119402984
25,0.380364254117012,0.417064572374026,0.7984509176629062,0.6760210025913834,6423,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.16862745098039214
26,0.3319399207830429,0.4199066145552529,0.7985181443125368,0.676062414047911,6422,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.16895874263261296
27,0.3226903211325407,0.40362013545301223,0.7991236939669701,0.6764425712188344,6413,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.17200000000000001
28,0.356759712100029,0.39973674217859906,0.8001687051876845,0.6775298402126743,6400,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1806981519507187
29,0.37341079860925674,0.4106889069080353,0.7993595685514451,0.6769866593951871,6412,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.17635270541082165
30,0.3548928163945675,0.38547346823745304,0.8007090402633578,0.6779070806134064,6392,0.8468392023759016,0.8917899622860459,0.8116524359618282,0.8207236842105262,0.7017994858611825,0.8182509505703423,0.3484848484848485,0.1837160751565762
