label,tuned_precision,tuned_recall,tuned_f1,threshold
Reentrancy,0.7603143418467584,0.9325301204819277,0.8376623376623378,0.3
Access Control,0.8055141579731744,0.9482456140350877,0.871071716357776,0.4
Arithmetic,0.7491207502930832,0.8962131837307152,0.8160919540229885,0.35
Unchecked Return Values,0.8172268907563025,0.8963133640552995,0.8549450549450549,0.55
DoS,0.7381818181818182,0.7689393939393939,0.7532467532467533,0.55
Time manipulation,0.8477508650519031,0.8892921960072595,0.8680248007085918,0.35
