epoch,train_total_loss,valid_classification_loss,tuned_macro_f1
1,0.8187014125576315,0.7211333438754082,0.5193828329383725
2,0.773966907530792,0.725758695974946,0.5709558071682005
3,0.6914577119110167,0.6200483273714781,0.6077438908567263
4,0.6372396297926126,0.5648424904793501,0.6348856865286784
5,0.6089626933022063,0.5467025320976973,0.6450602426373059
6,0.6064545010873513,0.5374157400801778,0.6628786165641072
7,0.5618152459000432,0.5235547665506601,0.6862011868995318
8,0.5346575796950696,0.4570625899359584,0.7259706541463316
9,0.4906540236385294,0.44140463694930077,0.7378075440313632
10,0.4780132224739984,0.42793607618659735,0.7498973553762326
11,0.4603826585550641,0.42214045487344265,0.7527619178136731
12,0.44526565219311753,0.39975766371935606,0.7725071550793791
13,0.42998161328624385,0.3948577372357249,0.778663713575445
14,0.4078023349360902,0.3750204127281904,0.7895995120691662
15,0.3938597025739592,0.38121126033365726,0.784852424578094
16,0.38711433525579847,0.3750764625146985,0.7961998766382341
17,0.3661943350362685,0.36249895859509706,0.7946996789057109
18,0.35126303404916165,0.35991705395281315,0.8041633551043192
19,0.3312868494396062,0.3697371603921056,0.8024311608544284
20,0.3230021579783092,0.3624022826552391,0.8089208756184575
21,0.3087360948150934,0.3525325176306069,0.8135210531538734
22,0.29476603865623474,0.35215538181364536,0.8146534121648767
23,0.2815979489580143,0.36242305114865303,0.8170597228860889
24,0.2566220776084088,0.3664015713147819,0.8162720482803056
25,0.2527301720264115,0.37437610793858767,0.8202841523010208
26,0.23302355246228534,0.38369589811190963,0.8202987281330549
27,0.2234165929835434,0.396694989874959,0.8271044042731818
28,0.2097702363953572,0.3822378241457045,0.832147765845451
29,0.1916373680136347,0.39522708766162395,0.8290071033892058
30,0.18849283849546153,0.3990527354180813,0.833507102823917
