bad_available_negative_count,bad_delta_vs_baseline,bad_effective_neg_per_pos,bad_randomness_ap,bad_randomness_auc,bad_randomness_f1,bad_randomness_fn,bad_randomness_fp,bad_randomness_precision,bad_randomness_recall,bad_randomness_tp,bad_selected_negative_count,bad_selected_negative_fraction,checkpoint_tag,detection_f1,eval_dir,front_ap,front_auc,front_available_negative_count,front_delta_vs_baseline,front_effective_neg_per_pos,front_f1,front_fn,front_fp,front_precision,front_recall,front_selected_negative_count,front_selected_negative_fraction,front_tp,macro_delta_vs_baseline,macro_f1,micro_delta_vs_baseline,micro_f1,neg_per_pos,negative_fraction,policy,rare_mean_f1,ratio,status,threshold_mode,valid_bad_randomness_f1,valid_front_f1,valid_macro_f1,valid_micro_f1,valid_rare_mean_f1,validation_winner,variant
917350.0,-0.04769475357710662,5.136306659205372,0.5297942399190513,0.9134145714432619,0.5405405405405405,32,36,0.5263157894736842,0.5555555555555556,40,458929.0,0.5002768845042787,best_micro_f1,0.943661971830986,results/dive_rare_negative_subsampling_search/rare_neg_frac050/best_micro_f1,0.49652391041095817,0.8847457627118644,917350.0,-0.11111111111111105,5.136239507554561,0.4273504273504274,25,42,0.373134328358209,0.5,458923.0,0.5002703439254375,25,-0.023172105918553232,0.7221000784265155,-0.005841039845695395,0.8182447637181929,,0.5,random_fraction,0.4839454839454839,frac050,ok,fixed_0_5,0.7047619047619047,0.5833333333333333,0.7725634036194796,0.8286647190238872,0.644047619047619,False,rare_neg_frac050
917350.0,-0.02085940759282434,5.136306659205372,0.5297942399190513,0.9134145714432619,0.5673758865248227,32,29,0.5797101449275363,0.5555555555555556,40,458929.0,0.5002768845042787,best_micro_f1,0.943661971830986,results/dive_rare_negative_subsampling_search/rare_neg_frac050/best_micro_f1,0.49652391041095817,0.8847457627118644,917350.0,-0.1136827773995916,5.136239507554561,0.42477876106194684,26,39,0.38095238095238093,0.48,458923.0,0.5002703439254375,24,-0.02270234768402013,0.7225698366610486,-0.009770911458391374,0.8143148921054969,,0.5,random_fraction,0.49607732379338476,frac050,ok,best_global,0.7047619047619047,0.5833333333333333,0.7725634036194796,0.8286647190238872,0.644047619047619,False,rare_neg_frac050
917350.0,-0.03184431667403809,5.136306659205372,0.5297942399190513,0.9134145714432619,0.556390977443609,35,24,0.6065573770491803,0.5138888888888888,37,458929.0,0.5002768845042787,best_micro_f1,0.943661971830986,results/dive_rare_negative_subsampling_search/rare_neg_frac050/best_micro_f1,0.49652391041095817,0.8847457627118644,917350.0,-0.08131868131868125,5.136239507554561,0.4571428571428572,26,31,0.43636363636363634,0.48,458923.0,0.5002703439254375,24,-0.015824993141190014,0.7294471912038787,-0.0009248791585720895,0.8231609244053162,,0.5,random_fraction,0.5067669172932331,frac050,ok,per_label,0.7047619047619047,0.5833333333333333,0.7725634036194796,0.8286647190238872,0.644047619047619,False,rare_neg_frac050
917350.0,-0.04769475357710662,5.136306659205372,0.5297942399190513,0.9134145714432619,0.5405405405405405,32,36,0.5263157894736842,0.5555555555555556,40,458929.0,0.5002768845042787,best_macro_f1,0.943661971830986,results/dive_rare_negative_subsampling_search/rare_neg_frac050/best_macro_f1,0.49652391041095817,0.8847457627118644,917350.0,-0.11111111111111105,5.136239507554561,0.4273504273504274,25,42,0.373134328358209,0.5,458923.0,0.5002703439254375,25,-0.023172105918553232,0.7221000784265155,-0.005841039845695395,0.8182447637181929,,0.5,random_fraction,0.4839454839454839,frac050,ok,fixed_0_5,0.7047619047619047,0.5833333333333333,0.7725634036194796,0.8286647190238872,0.644047619047619,False,rare_neg_frac050
917350.0,-0.02085940759282434,5.136306659205372,0.5297942399190513,0.9134145714432619,0.5673758865248227,32,29,0.5797101449275363,0.5555555555555556,40,458929.0,0.5002768845042787,best_macro_f1,0.943661971830986,results/dive_rare_negative_subsampling_search/rare_neg_frac050/best_macro_f1,0.49652391041095817,0.8847457627118644,917350.0,-0.1136827773995916,5.136239507554561,0.42477876106194684,26,39,0.38095238095238093,0.48,458923.0,0.5002703439254375,24,-0.02270234768402013,0.7225698366610486,-0.009770911458391374,0.8143148921054969,,0.5,random_fraction,0.49607732379338476,frac050,ok,best_global,0.7047619047619047,0.5833333333333333,0.7725634036194796,0.8286647190238872,0.644047619047619,False,rare_neg_frac050
917350.0,-0.03184431667403809,5.136306659205372,0.5297942399190513,0.9134145714432619,0.556390977443609,35,24,0.6065573770491803,0.5138888888888888,37,458929.0,0.5002768845042787,best_macro_f1,0.943661971830986,results/dive_rare_negative_subsampling_search/rare_neg_frac050/best_macro_f1,0.49652391041095817,0.8847457627118644,917350.0,-0.08131868131868125,5.136239507554561,0.4571428571428572,26,31,0.43636363636363634,0.48,458923.0,0.5002703439254375,24,-0.015824993141190014,0.7294471912038787,-0.0009248791585720895,0.8231609244053162,,0.5,random_fraction,0.5067669172932331,frac050,ok,per_label,0.7047619047619047,0.5833333333333333,0.7725634036194796,0.8286647190238872,0.644047619047619,False,rare_neg_frac050
843962.0,-0.08492403583950137,2.5710445001338167,0.5622361622155899,0.920349375289218,0.5033112582781457,34,41,0.4810126582278481,0.5277777777777778,38,211345.0,0.25042004260855344,best_micro_f1,0.9482248520710059,results/dive_rare_negative_subsampling_search/rare_neg_frac025/best_micro_f1,0.5070151559490416,0.896921667430142,843962.0,-0.07446153846153841,2.571008004671419,0.464,21,46,0.38666666666666666,0.58,211342.0,0.25041648794613974,29,-0.023294879512874345,0.7219773048321944,-0.005605097559389094,0.8184807060044992,,0.25,random_fraction,0.4836556291390729,frac025,ok,fixed_0_5,0.693069306930693,0.5970149253731343,0.7687256244520185,0.8285097192224622,0.6450421161519136,False,rare_neg_frac025
843962.0,-0.08492403583950137,2.5710445001338167,0.5622361622155899,0.920349375289218,0.5033112582781457,34,41,0.4810126582278481,0.5277777777777778,38,211345.0,0.25042004260855344,best_micro_f1,0.9482248520710059,results/dive_rare_negative_subsampling_search/rare_neg_frac025/best_micro_f1,0.5070151559490416,0.896921667430142,843962.0,-0.07446153846153841,2.571008004671419,0.464,21,46,0.38666666666666666,0.58,211342.0,0.25041648794613974,29,-0.023294879512874345,0.7219773048321944,-0.005605097559389094,0.8184807060044992,,0.25,random_fraction,0.4836556291390729,frac025,ok,best_global,0.693069306930693,0.5970149253731343,0.7687256244520185,0.8285097192224622,0.6450421161519136,False,rare_neg_frac025
843962.0,-0.04136029411764719,2.5710445001338167,0.5622361622155899,0.920349375289218,0.5468749999999999,37,21,0.625,0.4861111111111111,35,211345.0,0.25042004260855344,best_micro_f1,0.9482248520710059,results/dive_rare_negative_subsampling_search/rare_neg_frac025/best_micro_f1,0.5070151559490416,0.896921667430142,843962.0,0.00870827285921627,2.571008004671419,0.5471698113207547,21,27,0.5178571428571429,0.58,211342.0,0.25041648794613974,29,-0.00702242913614759,0.7382497552089211,-0.0023485335596092893,0.821737270004279,,0.25,random_fraction,0.5470224056603773,frac025,ok,per_label,0.693069306930693,0.5970149253731343,0.7687256244520185,0.8285097192224622,0.6450421161519136,False,rare_neg_frac025
843962.0,-0.041568627450980444,2.5710445001338167,0.563609357078064,0.9204265000771248,0.5466666666666666,31,37,0.5256410256410257,0.5694444444444444,41,211345.0,0.25042004260855344,best_macro_f1,0.9465838509316771,results/dive_rare_negative_subsampling_search/rare_neg_frac025/best_macro_f1,0.5243278478331572,0.8899129638112689,843962.0,-0.06084959816303104,2.571008004671419,0.4776119402985074,18,52,0.38095238095238093,0.64,211342.0,0.25041648794613974,32,-0.013058376149127193,0.7322138081959415,-0.0011834651869969681,0.8229023383768913,,0.25,random_fraction,0.512139303482587,frac025,ok,fixed_0_5,0.72,0.6466165413533834,0.7789238738828062,0.8274268104776579,0.6833082706766918,False,rare_neg_frac025
843962.0,-0.06045751633986929,2.5710445001338167,0.563609357078064,0.9204265000771248,0.5277777777777778,34,34,0.5277777777777778,0.5277777777777778,38,211345.0,0.25042004260855344,best_macro_f1,0.9465838509316771,results/dive_rare_negative_subsampling_search/rare_neg_frac025/best_macro_f1,0.5243278478331572,0.8899129638112689,843962.0,-0.054086538461538436,2.571008004671419,0.484375,19,47,0.3974358974358974,0.62,211342.0,0.25041648794613974,31,-0.017301351379971575,0.7279708329650971,-0.005732566606000189,0.8183532369578881,,0.25,random_fraction,0.5060763888888888,frac025,ok,best_global,0.72,0.6466165413533834,0.7789238738828062,0.8274268104776579,0.6833082706766918,False,rare_neg_frac025
843962.0,-0.04559963520291843,2.5710445001338167,0.563609357078064,0.9204265000771248,0.5426356589147286,37,22,0.6140350877192983,0.4861111111111111,35,211345.0,0.25042004260855344,best_macro_f1,0.9465838509316771,results/dive_rare_negative_subsampling_search/rare_neg_frac025/best_macro_f1,0.5243278478331572,0.8899129638112689,843962.0,-0.029986962190351907,2.571008004671419,0.5084745762711865,20,38,0.4411764705882353,0.6,211342.0,0.25041648794613974,30,-0.010875875385506495,0.7343963089595622,-0.00030220664054536606,0.8237835969233429,,0.25,random_fraction,0.5255551175929576,frac025,ok,per_label,0.72,0.6466165413533834,0.7789238738828062,0.8274268104776579,0.6833082706766918,False,rare_neg_frac025
788921.0,-0.013071895424836555,1.2883096263713383,0.5773926028047662,0.9161332202169777,0.5751633986928105,28,37,0.5432098765432098,0.6111111111111112,44,98995.0,0.1254815120905642,best_micro_f1,0.9467131474103586,results/dive_rare_negative_subsampling_search/rare_neg_frac0125/best_micro_f1,0.47015314108650336,0.8928034814475493,788921.0,-0.1384615384615384,1.2882575708280735,0.4,19,74,0.29523809523809524,0.62,98991.0,0.1254764418744082,31,-0.024131384516640653,0.721140799828428,-0.007346244349412667,0.8167395592144756,,0.125,random_fraction,0.4875816993464053,frac0125,ok,fixed_0_5,0.7346938775510203,0.5850340136054422,0.7745785475028438,0.8286235979480044,0.6598639455782312,False,rare_neg_frac0125
