threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.30710217366035103,0.9524152847873107,0.46444581172541083,0.22798204053309537,0.8992939840530599,0.3569443265227793,17206
0.1,0.36342428955181677,0.9266402307137708,0.5220879455671777,0.27192939239243896,0.8764976858742074,0.40681190293406927,14146
0.15,0.40285576768811165,0.9051910598413843,0.5575663372932164,0.3036347724474044,0.854398376787269,0.4375892335843303,12466
0.2,0.43475954738330974,0.8864455659697188,0.5833926453143535,0.33160301608733367,0.8403675470369434,0.462590268165711,11312
0.25,0.4627224627224627,0.8669790915645278,0.6033996111145957,0.3582441697195675,0.8255485918001844,0.48287610691193034,10395
0.3,0.48560480530240263,0.8451694304253785,0.6168113654301499,0.37959427630421594,0.8075619035952195,0.4961317726918203,9656
0.35,0.509906500445236,0.8257029560201875,0.6304706853839802,0.40038669990362763,0.7914794639581224,0.5077133012687899,8984
0.4,0.5334614922503905,0.8002883922134102,0.640184557710331,0.42377374603546025,0.7724199784862841,0.5189182937845205,8323
0.45,0.5557558588720062,0.7779379956741168,0.6483400931350458,0.4423750379525063,0.748820873283641,0.5241139497349583,7766
0.5,0.57289668402302,0.753604902667628,0.6509419274482329,0.4587703096814706,0.7346523041528729,0.5290702659926241,7298
0.55,0.5946780358718025,0.7290915645277577,0.6550607287449391,0.480794124375661,0.7180213722789277,0.5353982026432275,6802
0.6,0.6094554532688407,0.7040374909877434,0.6533411390817094,0.49555201560714374,0.6979483442809221,0.5344086681682807,6409
0.65,0.6234393207924088,0.6750180245133381,0.6482042405884898,0.5113878032890596,0.678471734972435,0.5330372004406685,6007
0.7,0.6369005010737294,0.641492429704398,0.6391882183908046,0.5260655612720009,0.6551101086215418,0.528846014155291,5588
0.75,0.6555467824713778,0.5985940879596251,0.6257772752967778,0.5418136297963518,0.6210705044093386,0.5209551685373673,5066
0.8,0.7280881599179908,0.5120764239365537,0.6012698412698413,0.5367756927203795,0.46122945042132013,0.4644737687601482,3902
0.85,0.842966573816156,0.4363734679163663,0.5750593824228029,0.5866464623794891,0.30441994491873825,0.39168632708710815,2872
0.9,0.8916129032258064,0.37364816149963953,0.5266099326813158,0.6550647334243662,0.2658162683771258,0.3636867056939203,2325
0.95,0.9323615160349854,0.2882119682768565,0.4403139198678232,0.7895551828386693,0.20518442064180714,0.2985684188124471,1715
