epoch,train_loss,valid_loss,micro_f1,macro_f1,predicted_positive_total,Reentrancy_f1,Access Control_f1,Arithmetic_f1,Unchecked Return Values_f1,DoS_f1,Time manipulation_f1
1,0.5879196465015412,0.5297110809220208,0.7526664986982448,0.7069910917700878,6571,0.7906976744186047,0.8612490201201987,0.6962025316455696,0.6950925181013676,0.5545454545454545,0.6441593517893315
2,0.5100213010396276,0.48237564000818467,0.7776313622138034,0.7395480863688539,6806,0.7992156862745098,0.8663129973474801,0.7594202898550725,0.753880266075388,0.5657894736842105,0.6926698049764628
3,0.4768910942333085,0.4497266262769699,0.7898209236569275,0.7559263159223514,6335,0.8110850897736144,0.8692220969560315,0.744,0.779969650986343,0.5966709346991037,0.734610123119015
4,0.4454953696046557,0.44162484341197544,0.7929074404004411,0.7562028897891787,6451,0.8111713213839099,0.8779038357644517,0.751343429408891,0.7863777089783281,0.5849802371541502,0.7254408060453401
5,0.4196479197059359,0.4297340197695626,0.7963446475195823,0.7704484170653112,6154,0.8157570783750514,0.8623529411764704,0.7657920310981535,0.8041901692183724,0.6277712952158694,0.7468269873079492
6,0.3986581808754376,0.41958069304625195,0.8085566838688196,0.7797049197483834,6678,0.8286505738029285,0.8837845228329232,0.7774621212121212,0.805877803557618,0.6062917063870352,0.7761627906976745
7,0.38202219690595357,0.3983034872346454,0.8187521784593936,0.7928268830659602,6140,0.8205338809034907,0.8793201133144476,0.8017037387600567,0.8116182572614107,0.6623376623376623,0.7814476458186929
8,0.363845217866557,0.4020852976375156,0.8204598295014208,0.793255880757894,6277,0.8277259829752736,0.884,0.8045540796963947,0.7996999249812453,0.6615581098339719,0.7819971870604783
9,0.34866684739078796,0.4019094192319446,0.8212941387345403,0.7957070320414333,5822,0.8126110124333925,0.88692175899486,0.8056872037914693,0.8114285714285714,0.6733416770963705,0.7842519685039371
10,0.33419123845441,0.3903331210215886,0.8255194916709601,0.8007977595996197,6310,0.836676217765043,0.884306987399771,0.8092042186001918,0.8141865844255977,0.6521739130434783,0.8082386363636365
11,0.3198141564215933,0.3986439175075955,0.8232077245150816,0.7959853940563318,6367,0.8389760528488853,0.8906905227844563,0.7957712638154733,0.7952522255192878,0.6643913538111489,0.7908309455587392
12,0.3062035738357476,0.4135408269034492,0.8113399205836181,0.7894816764436033,5493,0.8123324396782841,0.8703374777975132,0.7723093564088697,0.8009592326139088,0.6776232616940581,0.8033282904689864
13,0.29477413009319986,0.41355565521452164,0.822529224229543,0.7994241218212003,5956,0.8318890814558061,0.8791400348634514,0.8054342552159146,0.8097560975609756,0.671201814058957,0.7991234477720964
14,0.28133778625300954,0.40699514746665955,0.8260078023407023,0.8010635696952145,6199,0.8349514563106796,0.8830059777967549,0.8174831892411143,0.815112540192926,0.661345496009122,0.7944827586206898
15,0.27124956686581886,0.43884312113126117,0.8252082964013474,0.7977635617298099,5946,0.8288135593220339,0.888135593220339,0.8071928071928072,0.8110749185667752,0.6608040201005025,0.7905604719764012
16,0.2566073188824313,0.43535033199522233,0.8286598850066342,0.8034422222936947,5969,0.8410596026490066,0.8868519048983099,0.8060873834069711,0.7954911433172303,0.6884422110552765,0.8027210884353742
17,0.24353367068937848,0.44755104018582237,0.8255532658363945,0.8018688267607063,5825,0.8350515463917526,0.881453706374387,0.798989898989899,0.8082304526748971,0.6816479400749064,0.8058394160583943
18,0.2365423464349338,0.44017860293388367,0.8285030576974209,0.8061886819984031,5947,0.8395368072787428,0.8815249266862171,0.8063397721644379,0.8003169572107766,0.6881720430107527,0.8212415856394915
19,0.22706748566457202,0.44983316626813674,0.8295383516385393,0.8047227902070055,5863,0.8368055555555556,0.8894645941278065,0.8073750606501698,0.8061389337641357,0.6770708283313326,0.8114817688130334
20,0.21544460813914026,0.4718315088086658,0.8330658105939005,0.8065552704019444,5878,0.8456318914334181,0.890296573567521,0.8101265822784811,0.79755538579068,0.675531914893617,0.8201892744479494
21,0.20913341992667744,0.49852434794108075,0.8226170078456128,0.7994353281502932,5753,0.8217864923747277,0.8776893604479811,0.8063241106719367,0.8141025641025641,0.6772908366533865,0.7994186046511627
